,AREA,R_M,R_T,R_P,weighted_R_M,weighted_R_T,weighted_R_P,cost_balance,R_T_ratio,R_P_ratio,repetitive_penalty
0,2311677.943934335,14778936320.0,0.005810737609863281,-4.59765625,2955.787353515625,1162.1474609375,-919.53125,0.0,0.0005253758863545954,-0.0005433314363472164,0
1,2237270.326719275,6531380224.0,0.0010156631469726562,-2.82421875,1306.2760009765625,203.13262939453125,-564.84375,0.0,9.187911200569943e-05,-0.0003338655806146562,0
2,2437796.123900926,10157313024.0,0.007811546325683594,-8.671875,2031.462646484375,1562.309326171875,-1734.375,0.0,0.000706714519765228,-0.0010261994320899248,0
3,1971255.7239468324,9465702400.0,0.008045196533203125,19.6669921875,1893.1405029296875,1609.039306640625,3933.3984375,0.0,0.000728367711417377,0.0023219194263219833,0
4,2073463.553618382,3513690112.0,0.0077972412109375,-4.96484375,702.738037109375,1559.4482421875,-992.96875,0.0,0.0007064337260089815,-0.0005865018465556204,0
5,2646359.7026341376,17599201280.0,0.01780414581298828,22.265625,3519.84033203125,3560.8291015625,4453.125,0.0,0.0016142043750733137,0.002623360138386488,0
6,1909742.826161678,11683508224.0,0.011648178100585938,9.0439453125,2336.70166015625,2329.6357421875,1808.7890625,0.0,0.0010577839566394687,0.0010644332505762577,0
7,2631003.6450689128,17139731456.0,0.01789379119873047,11.9248046875,3427.9462890625,3578.75830078125,2384.9609375,0.0,0.0016266757156699896,0.0014015308115631342,0
8,2129257.0253932225,5267216384.0,0.015583038330078125,22.693359375,1053.4432373046875,3116.607666015625,4538.671875,0.0,0.0014189196517691016,0.0026600719429552555,0
9,2326454.564805836,14161765376.0,0.017660140991210938,26.087890625,2832.35302734375,3532.0283203125,5217.578125,0.0,0.0016103358939290047,0.0030486497562378645,0
10,2677999.4229031694,13280349184.0,0.018934249877929688,22.1513671875,2656.06982421875,3786.85009765625,4430.2734375,0.0,0.0017293000128120184,0.0025819409638643265,0
11,1734098.1165297616,8730378240.0,0.012236595153808594,13.060546875,1746.07568359375,2447.319091796875,2612.109375,0.0,0.0011195268016308546,0.0015200101770460606,0
