,AREA,R_M,R_T,R_P,weighted_R_M,weighted_R_T,weighted_R_P,cost_balance,R_T_ratio,R_P_ratio
0,2121105.98180019,-7014881792.0,-0.002559661865234375,-8.1884765625,-1402.976318359375,-511.932373046875,-1637.6953125,0.0,-0.00023143096768762916,-0.0009680900839157403
1,1759928.1849462795,-640919808.0,-0.004352569580078125,-17.587890625,-128.1839599609375,-870.513916015625,-3517.578125,0.0,-0.00039344505057670176,-0.002083677100017667
2,2229147.014321667,-3544197376.0,-0.008924484252929688,-28.0029296875,-708.8394775390625,-1784.8968505859375,-5600.5859375,0.0,-0.0008064002613537014,-0.003328613005578518
3,2532986.360192988,-2734980608.0,0.0022907257080078125,-24.6318359375,-546.9961547851562,458.1451416015625,-4926.3671875,0.0,0.0002068190515274182,-0.002936500357463956
4,982780.3232497117,-427590112.0,0.0005865097045898438,-9.7333984375,-85.51802062988281,117.30194091796875,-1946.6796875,0.0,5.296420931699686e-05,-0.0011617215350270271
5,2498593.01000695,672110976.0,0.0023717880249023438,-12.5283203125,134.4221954345703,474.35760498046875,-2505.6640625,0.0,0.0002141934382962063,-0.0014975463273003697
6,6851932.588935651,-11924642816.0,-0.010784149169921875,-65.548828125,-2384.9287109375,-2156.829833984375,-13109.765625,16209.58820265809,-0.0009741127141751349,-0.007897116243839264
7,1873057.3747451832,973314816.0,0.0010957717895507812,-20.3671875,194.6629638671875,219.15435791015625,-4073.4375,0.0,9.888275963021442e-05,-0.0024598105810582638
8,2153501.40564472,-1020402048.0,0.006659507751464844,-1.533203125,-204.08041381835938,1331.901611328125,-306.640625,0.0,0.0006010153447277844,-0.00018520414596423507
9,4257606.6929298835,-1093565312.0,0.013993263244628906,-20.66796875,-218.7130584716797,2798.652587890625,-4133.59375,0.0,0.0012636404717341065,-0.002502847695723176
10,4791162.549881294,-9380165632.0,0.00788116455078125,-38.779296875,-1876.033203125,1576.23291015625,-7755.859375,0.0,0.0007125971023924649,-0.0047182487323880196
11,4547868.492677007,-10610035712.0,0.011697769165039062,-34.755859375,-2122.007080078125,2339.5537109375,-6951.171875,0.0,0.0010584400733932853,-0.004246678203344345
