,AREA,R_M,R_T,R_P,weighted_R_M,weighted_R_T,weighted_R_P,cost_balance,R_T_ratio,R_P_ratio,repetitive_penalty
0,2432814.983930201,3801518592.0,0.013228416442871094,29.4638671875,760.3037109375,2645.683349609375,5892.7734375,0.0,0.0011960427509620786,0.0034679549280554056,0
1,2318000.4053117987,6490107392.0,0.009528160095214844,43.310546875,1298.021484375,1905.632080078125,8662.109375,0.0,0.0008625169866718352,0.005071881227195263,0
2,2266319.572256511,9513579520.0,0.014005661010742188,26.3388671875,1902.7159423828125,2801.13232421875,5267.7734375,0.0,0.001268927939236164,0.003074928419664502,0
3,3310975.917336481,4474008576.0,0.018692970275878906,47.0859375,894.8016967773438,3738.593994140625,9417.1875,0.0,0.001695755054242909,0.005466990638524294,0
4,2403359.172528845,18908225536.0,0.017769813537597656,9.181640625,3781.645263671875,3553.962646484375,1836.328125,0.0,0.0016147480346262455,0.0010649143951013684,0
5,1963456.0024034898,9845282816.0,0.011835098266601562,17.6142578125,1969.056640625,2367.01953125,3522.8515625,0.0,0.0010771980741992593,0.0020387894473969936,0
6,2721669.514952203,16271403008.0,0.012393951416015625,7.0478515625,3254.280517578125,2478.790283203125,1409.5703125,0.0,0.0011292798444628716,0.0008150995709002018,0
7,2678400.784373146,24514760704.0,0.02065563201904297,27.8623046875,4902.9521484375,4131.12646484375,5572.4609375,0.0,0.001884173951111734,0.0032119867391884327,0
8,2514349.117352418,28256821248.0,0.016374588012695312,4.21875,5651.3642578125,3274.91748046875,843.75,0.0,0.0014964835718274117,0.0004861041670665145,0
9,2216817.9848677646,17599387648.0,0.016292572021484375,22.22265625,3519.877685546875,3258.514404296875,4444.53125,0.0,0.0014912196202203631,0.0025540587957948446,0
10,3113101.2416726886,37498871808.0,0.025780677795410156,5.8818359375,7499.7744140625,5156.1357421875,1176.3671875,0.0,0.002363167004659772,0.0006755450740456581,0
11,3753007.021574519,40166453248.0,0.02173137664794922,22.451171875,8033.29052734375,4346.275390625,4490.234375,0.0,0.001996709266677499,0.0025719471741467714,0
