,AREA,R_M,R_T,R_P,weighted_R_M,weighted_R_T,weighted_R_P,cost_balance,R_T_ratio,R_P_ratio
0,1044655.496925561,-3654389248.0,0.00536346435546875,27.923828125,-730.8778686523438,1072.69287109375,5584.765625,0.0,0.0004849358228966594,0.0032872851006686687
1,835795.5038475128,-971610112.0,0.004395484924316406,20.7587890625,-194.322021484375,879.0969848632812,4151.7578125,0.0,0.0003976091102231294,0.0024378355592489243
2,694413.9230168038,-1469686528.0,0.0043315887451171875,21.3408203125,-293.93731689453125,866.3177490234375,4268.1640625,0.0,0.0003919849987141788,0.0024999219458550215
3,1926930.9117057605,-8798094336.0,0.0016431808471679688,4.15234375,-1759.618896484375,328.63616943359375,830.46875,0.0,0.00014875715714879334,0.0004861803899984807
4,1308012.557771065,-6368138752.0,0.004221916198730469,9.4638671875,-1273.6278076171875,844.3832397460938,1892.7734375,0.0,0.00038226693868637085,0.0011068577878177166
5,1161536.7338287828,-3729333760.0,0.0066280364990234375,16.841796875,-745.8667602539062,1325.6072998046875,3368.359375,0.0,0.0006003549206070602,0.0019658799283206463
6,1211923.0478517534,-7881572352.0,0.007618904113769531,29.9697265625,-1576.314453125,1523.78076171875,5993.9453125,0.0,0.0006905203335918486,0.003486058907583356
7,1311142.528352653,-7342687232.0,0.008637428283691406,36.2177734375,-1468.5374755859375,1727.485595703125,7243.5546875,0.0,0.0007833726704120636,0.004195154178887606
8,1203690.3377712334,-6097207808.0,0.008152961730957031,29.5615234375,-1219.4415283203125,1630.59228515625,5912.3046875,0.0,0.000740013609174639,0.0034124667290598154
9,1528609.9457461662,-3694224640.0,0.010297775268554688,55.4130859375,-738.8449096679688,2059.55517578125,11082.6171875,0.0,0.000935382442548871,0.006356013007462025
10,1747782.629799255,-6780988928.0,0.013031005859375,68.33203125,-1356.19775390625,2606.201171875,13666.40625,0.0,0.0011847594287246466,0.007776892744004726
11,1422921.2857958563,-4945508352.0,0.005282402038574219,5.1728515625,-989.1016845703125,1056.48046875,1034.5703125,0.0,0.0004808377125300467,0.0005883776466362178
