,AREA,R_M,R_T,R_P,weighted_R_M,weighted_R_T,weighted_R_P,cost_balance,R_T_ratio,R_P_ratio
0,5878196.944457135,62218244096.0,0.008942604064941406,-84.1943359375,12443.6494140625,1788.520751953125,-16838.8671875,0.0,0.0008085425361059606,-0.01004420779645443
1,6540948.496787712,67902746624.0,-0.0023403167724609375,-102.20703125,13580.5498046875,-468.0633544921875,-20441.40625,2615.4680241958145,-0.0002117701806128025,-0.012343591079115868
2,5899563.644271999,56465567744.0,0.012375831604003906,-93.73388671875,11293.11328125,2475.166259765625,-18746.77734375,0.0,0.0011196249397471547,-0.011449901387095451
3,4276276.346317016,52968091648.0,0.022039413452148438,-41.32568359375,10593.6181640625,4407.8828125,-8265.13671875,0.0,0.0019961113575845957,-0.005073680076748133
4,4751921.686738441,47711592448.0,0.02632617950439453,-50.65380859375,9542.318359375,5265.23583984375,-10130.76171875,0.0,0.0023891329765319824,-0.006257839500904083
5,5334955.297128781,53471059968.0,0.008151054382324219,-78.95263671875,10694.2119140625,1630.2109375,-15790.52734375,0.0,0.0007414896390400827,-0.009849990718066692
6,7084304.728676494,74653925376.0,0.04580116271972656,-63.0732421875,14930.78515625,9160.232421875,-12614.6484375,33942.976778642726,0.0041695572435855865,-0.007931316271424294
7,6836620.1342051495,69957976064.0,0.05360126495361328,-77.95947265625,13991.595703125,10720.2529296875,-15591.89453125,15268.583782559017,0.004900079220533371,-0.009900280274450779
8,5090874.06295774,54935166976.0,0.031708717346191406,-51.8291015625,10987.033203125,6341.74365234375,-10365.8203125,0.0,0.0029129970353096724,-0.006625523790717125
9,5664320.218755181,64764362752.0,0.05082988739013672,-45.72705078125,12952.873046875,10165.9775390625,-9145.41015625,0.0,0.004683251027017832,-0.005879844538867474
10,5271441.248883729,72163319808.0,0.04636573791503906,-41.69140625,14432.6640625,9273.1474609375,-8338.28125,0.0,0.00429204385727644,-0.005389812868088484
11,6448725.5385221355,55438503936.0,0.0696249008178711,-55.16064453125,11087.701171875,13924.98046875,-11032.12890625,815.2011511536333,0.00647291075438261,-0.007182316854596138
