,AREA,R_M,R_T,R_P,weighted_R_M,weighted_R_T,weighted_R_P,cost_balance,R_T_ratio,R_P_ratio
0,739595.0500965638,-13981609984.0,0.005927085876464844,21.2099609375,-2796.322021484375,1185.417236328125,4241.9921875,0.0,0.0005358954658731818,0.002498881658539176
1,1008700.251430498,-18211403776.0,0.007930755615234375,30.4130859375,-3642.28076171875,1586.151123046875,6082.6171875,0.0,0.0007174410857260227,0.0035703678149729967
2,1073523.5985506538,-16324556800.0,0.008626937866210938,28.962890625,-3264.911376953125,1725.3875732421875,5792.578125,0.0,0.0007809802191331983,0.0033885992597788572
3,1280275.862866179,-11380065280.0,0.01190185546875,48.75,-2276.01318359375,2380.37109375,9750.0,0.0,0.0010782943572849035,0.00567130371928215
4,642425.2088385298,-6485083648.0,0.005780220031738281,20.46484375,-1297.0167236328125,1156.0439453125,4092.96875,0.0,0.0005242465413175523,0.002375111449509859
5,1757512.7446640802,-9781135360.0,0.011214256286621094,24.32421875,-1956.22705078125,2242.851318359375,4864.84375,0.0,0.0010176289360970259,0.0028150761500000954
6,1128963.8986860092,-7979460096.0,0.008704185485839844,19.98828125,-1595.89208984375,1740.837158203125,3997.65625,0.0,0.0007906591054052114,0.0023079332895576954
7,1436069.8832873746,-7428525056.0,0.009968757629394531,18.0556640625,-1485.705078125,1993.75146484375,3611.1328125,0.0,0.0009062451426871121,0.002080447506159544
8,1344787.3998551508,-8246182400.0,0.009897232055664062,14.3681640625,-1649.2364501953125,1979.4464111328125,2873.6328125,0.0,0.0009005589527077973,0.0016528223641216755
9,1395258.5477941532,-14759900160.0,0.010328292846679688,15.017578125,-2951.97998046875,2065.65869140625,3003.515625,0.0,0.0009406286990270019,0.0017245475901290774
10,1399960.365005213,-12159574016.0,0.00875091552734375,10.1806640625,-2431.914794921875,1750.18310546875,2036.1328125,0.0,0.0007977225468493998,0.0011677341535687447
11,1386796.3375327787,-8667253760.0,0.00707244873046875,6.89453125,-1733.4508056640625,1414.48974609375,1378.90625,0.0,0.0006452303496189415,0.0007901859353296459
