,AREA,R_M,R_T,R_P,weighted_R_M,weighted_R_T,weighted_R_P,cost_balance,R_T_ratio,R_P_ratio
0,1259082.7152137056,-92340609024.0,-0.006543159484863281,170.580078125,-18468.12109375,-1308.6318359375,34116.015625,0.0,-0.000591597578022629,0.019749576225876808
1,194162.57959661813,1746781952.0,0.0022945404052734375,3.0029296875,349.35638427734375,458.9080810546875,600.5859375,0.0,0.0002073374344035983,0.00034755509113892913
2,7118298.931233665,-198481068032.0,0.011701583862304688,328.5048828125,-39696.21484375,2340.31689453125,65700.9765625,37080.52567862815,0.0010575884953141212,0.03662809357047081
3,10930192.687815476,-366086979584.0,0.02200794219970703,596.5595703125,-73217.3984375,4401.58837890625,119311.9140625,1268512.2903497904,0.0019911823328584433,0.06236758083105087
4,2225242.3004691694,-19072288768.0,0.00254058837890625,-9.8017578125,-3814.457763671875,508.11767578125,-1960.3515625,0.0,0.00023031994351185858,-0.001025780220516026
5,2025902.061558314,-10656887808.0,0.00762939453125,-1.4326171875,-2131.377685546875,1525.87890625,-286.5234375,0.0,0.0006918107974343002,-0.00014994971570558846
6,7024612.749972591,-486573568.0,0.03959941864013672,-23.4326171875,-97.31471252441406,7919.8837890625,-4686.5234375,28769.14963924053,0.0035932434257119894,-0.0024586841464042664
7,3114096.888562883,-11732140032.0,0.008050918579101562,-20.1064453125,-2346.427978515625,1610.1837158203125,-4021.2890625,0.0,0.000733173219487071,-0.002114143455401063
