,AREA,R_M,R_T,R_P,weighted_R_M,weighted_R_T,weighted_R_P,cost_balance,R_T_ratio,R_P_ratio
0,5306609.479379606,-22101329920.0,0.0029172897338867188,4.50390625,-4420.26611328125,583.4579467773438,900.78125,0.0,0.0002637657744344324,0.0005316805909387767
1,5304977.743896804,-19704045568.0,0.0036182403564453125,9.482421875,-3940.80908203125,723.6480712890625,1896.484375,0.0,0.00032722827745601535,0.0011181365698575974
2,7009431.133115927,-34047260672.0,0.011287689208984375,-5.4169921875,-6809.4521484375,2257.537841796875,-1083.3984375,27521.478803489583,0.0010211759945377707,-0.0006391624920070171
3,5164688.104220999,-25974599680.0,0.008270263671875,39.443359375,-5194.919921875,1654.052734375,7888.671875,0.0,0.0007489600102417171,0.00463244691491127
4,7077561.530646887,-35706888192.0,0.017317771911621094,18.0087890625,-7141.3779296875,3463.554443359375,3601.7578125,33337.08463141537,0.0015694833127781749,0.0021105881314724684
5,4638504.502264377,-21954965504.0,0.008322715759277344,10.9609375,-4390.9931640625,1664.543212890625,2192.1875,0.0,0.000755460758227855,0.0012829483021050692
6,5815846.445728292,-28236199936.0,0.015057563781738281,11.900390625,-5647.240234375,3011.5126953125,2380.078125,0.0,0.0013678225222975016,0.0013909712433815002
7,4902702.400426796,-28048404480.0,0.010937690734863281,16.4013671875,-5609.68115234375,2187.5380859375,3280.2734375,0.0,0.0009949359809979796,0.0019133975729346275
8,5696602.633381516,-22828474368.0,0.01680469512939453,3.4970703125,-4565.69482421875,3360.93896484375,699.4140625,0.0,0.0015301444800570607,0.0004078048514202237
9,5071650.711793348,-22773422080.0,0.02330493927001953,18.15234375,-4554.6845703125,4660.98779296875,3630.46875,0.0,0.002125273458659649,0.0021123329643160105
10,7818579.1012446005,-28454690816.0,0.03181266784667969,29.513671875,-5690.93798828125,6362.53369140625,5902.734375,132565.86280095784,0.002907307120040059,0.0034226612187922
11,5270994.561602367,-27056205824.0,0.025649070739746094,23.220703125,-5411.2412109375,5129.81396484375,4644.140625,0.0,0.0023508607409894466,0.0026856418699026108
