row,column,r_b,pop,POI,price_c,price_r,AREA
51,31,0.7,1556.0,28.0,0.0,0.0,0.0
51,32,0.7,4711.88118812,147.0,10000.0,0.0,0.0
51,33,0.7,1958.58585859,73.0,10000.0,0.0,0.0
50,1,0.7,1129.0,10.0,0.0,35.10515,0.0
50,2,0.7,5512.0,175.0,25437.2857143,43.47629503,74814.16967631351
50,3,0.7,20536.3636364,668.0,27881.6428571,37.90649687,0.0
50,4,0.7,23457.4257426,1154.0,27307.4210526,52.38823235,0.0
50,5,0.7,20682.0,722.0,25366.0,40.55140256,215031.29103459127
50,6,0.7,12400.0,389.0,28124.25,44.3118463133,0.0
50,7,0.7,3448.0,59.0,0.0,45.10867407,0.0
50,8,0.7,6790.90909091,422.0,39486.0,65.19304641,0.0
50,9,0.7,3687.12871287,63.0,45273.0,68.4345027167,0.0
50,10,0.7,535.643564356,5.0,0.0,48.33372838,0.0
50,11,0.7,4876.76767677,166.0,0.0,0.0,259355.14129315404
50,12,0.7,1907.07070707,79.0,20000.0,0.0,1249092.61611868
50,13,0.7,174.0,0.0,0.0,0.0,0.0
50,14,0.7,136.893203883,1.0,0.0,0.0,0.0
50,15,0.7,174.747474747,0.0,0.0,0.0,0.0
50,16,0.7,428.282828283,1.0,0.0,0.0,0.0
50,17,0.7,505.940594059,4.0,0.0,0.0,0.0
50,18,0.7,210.0,3.0,0.0,0.0,0.0
50,19,0.7,539.0,2.0,0.0,0.0,0.0
50,20,0.7,17614.0,252.0,40393.0769231,77.42533673,0.0
50,21,0.7,36956.0,868.0,43523.2857143,85.04329598,0.0
50,22,0.7,40099.0,873.0,33986.6666667,71.2573282733,0.0
50,23,0.7,2854.0,58.0,34912.0,52.7995453967,0.0
50,24,0.7,2656.56565657,34.0,41228.25,48.32142275,0.0
50,25,0.7,627.722772277,1.0,0.0,39.900873165,0.0
50,26,0.7,910.0,0.0,0.0,0.0,0.0
50,27,0.7,1031.0,8.0,0.0,0.0,0.0
50,28,0.7,3898.0,7.0,0.0,0.0,0.0
50,29,0.7,5881.0,113.0,16650.0,38.888889,0.0
50,30,0.7,987.128712871,2.0,0.0,34.675615,0.0
50,31,0.7,889.108910891,28.0,0.0,0.0,85905.88393690897
50,32,0.7,592.929292929,5.0,0.0,0.0,0.0
50,33,0.7,197.97979798,1.0,0.0,0.0,0.0
50,34,0.7,139.0,1.0,0.0,0.0,0.0
50,35,0.7,180.392156863,4.0,10000.0,0.0,0.0
49,1,0.7,2888.0,29.0,33443.0,0.0,318083.9194263903
49,2,0.7,2075.75757576,36.0,28500.0,0.0,0.0
49,3,0.7,8957.42574257,160.0,26064.5,28.71918003,0.0
49,4,0.7,21863.3663366,970.0,26984.8,35.9036612467,96564.48698388832
49,5,0.7,17516.0,304.0,26152.1764706,47.4092909567,0.0
49,6,0.7,3892.0,76.0,29569.4,49.78641563,0.0
49,7,0.7,4379.7979798,51.0,24583.0,58.08457488,0.0
49,8,0.7,8198.01980198,369.0,30913.8888889,46.057962755,0.0
49,9,0.7,1870.2970297,53.0,46192.3333333,56.2211686933,0.0
49,10,0.7,940.0,6.0,0.0,57.21817284,262534.7068110351
49,11,0.7,578.787878788,16.0,0.0,0.0,0.0
49,12,0.7,324.0,3.0,0.0,0.0,0.0
49,13,0.7,91.1764705882,0.0,0.0,0.0,0.0
49,14,0.7,123.232323232,0.0,0.0,0.0,0.0
49,15,0.7,609.090909091,2.0,0.0,0.0,0.0
49,16,0.7,1271.28712871,2.0,0.0,0.0,0.0
49,17,0.7,645.0,5.0,0.0,0.0,0.0
49,18,0.7,461.0,4.0,0.0,0.0,0.0
49,19,0.7,1200.0,9.0,52161.0,63.07436391,130524.51429703143
49,20,0.7,16907.9207921,231.0,50318.3333333,58.68251738,0.0
49,21,0.7,36306.0,579.0,41918.0,85.0451130767,0.0
49,22,0.7,30625.0,296.0,36570.3,69.91865613,0.0
49,23,0.7,12155.5555556,162.0,32097.5,58.4333866133,0.0
49,24,0.7,9600.99009901,83.0,34797.5,77.07032913,0.0
49,25,0.7,1947.0,17.0,0.0,46.240801,0.0
49,26,0.7,1279.0,2.0,0.0,0.0,0.0
49,27,0.7,456.0,9.0,0.0,0.0,0.0
49,28,0.7,2751.51515152,16.0,0.0,0.0,0.0
49,29,0.7,2971.28712871,26.0,0.0,0.0,0.0
49,30,0.7,764.0,1.0,0.0,0.0,0.0
49,31,0.7,1251.0,0.0,0.0,0.0,0.0
49,32,0.7,640.404040404,2.0,0.0,0.0,0.0
49,33,0.7,706.0,1.0,0.0,0.0,219653.42941660952
49,34,0.7,63.1067961165,1.0,49695.0,70.76359756,0.0
49,35,0.7,872.727272727,14.0,49249.0,0.0,0.0
49,36,0.7,89.898989899,4.0,0.0,0.0,0.0
49,37,0.7,266.336633663,2.0,0.0,0.0,0.0
49,38,0.7,2594.0,28.0,39859.0,51.27732242,0.0
49,39,0.7,14366.0,364.0,21907.5555556,142.05472055,0.0
48,1,0.7,918.181818182,4.0,0.0,0.0,0.0
48,2,0.7,127.0,1.0,0.0,0.0,18427.681819338264
