year,idx,r_c,r_r,r_poi,FAR
6,651,0.6,0.1,0.3,2.2
6,1358,0.7,0.2,0.1,2.0
6,117,0.2,0.6,0.2,2.2
6,608,0.7,0.2,0.1,1.8
6,462,0.4,0.4,0.4,2.1
6,507,0.6,0.3,0.1,1.9
6,900,0.7,0.2,0.1,2.0
6,156,0.7,0.2,0.1,2.1
6,150,0.7,0.2,0.1,2.2
6,1311,0.6,0.1,0.3,2.1
6,86,0.7,0.2,0.1,2.0
6,442,0.7,0.2,0.1,1.9
6,1396,0.1,0.7,0.2,2.0
6,1210,0.6,0.3,0.1,2.2
6,832,0.7,0.2,0.1,1.9
6,1437,0.6,0.1,0.3,2.0
6,488,0.6,0.1,0.3,2.2
6,524,0.2,0.6,0.2,1.9
6,73,0.6,0.3,0.1,2.2
6,831,0.7,0.2,0.1,2.2
6,128,0.6,0.1,0.3,2.1
6,508,0.7,0.2,0.1,1.9
6,1043,0.7,0.2,0.1,2.1
6,227,0.7,0.2,0.1,2.2
7,1184,0.6,0.2,0.2,1.8
7,304,0.6,0.3,0.1,2.2
7,968,0.7,0.2,0.1,2.1
7,1294,0.2,0.4,0.4,2.0
7,1429,0.7,0.2,0.1,1.9
7,1273,0.7,0.2,0.1,2.1
7,1333,0.4,0.3,0.3,2.2
7,1004,0.7,0.2,0.1,2.0
7,1275,0.2,0.6,0.2,2.2
7,1016,0.7,0.2,0.1,1.8
7,541,0.4,0.4,0.4,1.9
7,1272,0.6,0.1,0.3,2.2
7,851,0.7,0.2,0.1,2.0
7,321,0.7,0.2,0.1,2.1
7,1223,0.7,0.2,0.1,2.2
7,845,0.2,0.4,0.4,2.0
7,97,0.7,0.2,0.1,2.0
7,874,0.7,0.2,0.1,1.9
7,1400,0.6,0.2,0.2,2.0
7,880,0.7,0.2,0.1,1.9
7,1029,0.7,0.2,0.1,1.9
7,531,0.6,0.1,0.3,2.1
7,223,0.7,0.2,0.1,1.9
7,90,0.7,0.2,0.1,2.1
7,1425,0.6,0.3,0.1,2.2
7,449,0.7,0.2,0.1,2.2
7,142,0.4,0.3,0.3,2.1
7,614,0.7,0.2,0.1,1.9
7,1438,0.5,0.2,0.3,2.0
7,604,0.7,0.2,0.1,2.2
8,119,0.2,0.4,0.4,1.8
8,1250,0.6,0.3,0.1,2.2
8,1099,0.7,0.2,0.1,2.1
8,355,0.4,0.2,0.4,1.8
8,709,0.7,0.2,0.1,1.9
8,411,0.7,0.2,0.1,2.1
8,92,0.7,0.2,0.1,2.1
8,603,0.7,0.2,0.1,2.0
8,1209,0.2,0.6,0.2,2.2
8,1163,0.7,0.2,0.1,1.8
8,1000,0.7,0.2,0.1,1.8
8,574,0.6,0.3,0.1,1.9
8,782,0.7,0.2,0.1,2.0
8,1383,0.7,0.2,0.1,2.1
8,1280,0.7,0.2,0.1,2.2
8,320,0.5,0.2,0.3,2.1
8,810,0.7,0.2,0.1,2.0
8,390,0.7,0.2,0.1,1.9
8,659,0.2,0.7,0.1,1.8
8,98,0.6,0.3,0.1,2.2
8,138,0.7,0.2,0.1,1.9
8,1215,0.6,0.3,0.1,2.1
8,39,0.6,0.1,0.3,2.2
8,971,0.7,0.2,0.1,2.1
8,1226,0.5,0.2,0.3,2.2
8,503,0.7,0.2,0.1,2.2
8,305,0.4,0.3,0.3,2.1
8,87,0.7,0.2,0.1,1.9
8,457,0.5,0.2,0.3,2.0
8,475,0.7,0.2,0.1,1.8
9,630,0.6,0.3,0.1,2.0
9,702,0.6,0.3,0.1,2.2
9,466,0.7,0.2,0.1,2.1
9,433,0.4,0.4,0.4,1.9
9,688,0.7,0.2,0.1,1.9
9,210,0.7,0.2,0.1,2.1
9,859,0.7,0.2,0.1,2.1
9,1225,0.7,0.2,0.1,2.0
9,288,0.5,0.2,0.3,2.2
9,637,0.7,0.2,0.1,1.8
9,533,0.7,0.2,0.1,1.8
9,546,0.4,0.3,0.3,2.2
9,248,0.7,0.2,0.1,2.0
9,677,0.7,0.2,0.1,2.1
9,49,0.7,0.2,0.1,2.2
9,209,0.5,0.2,0.3,2.1
9,986,0.7,0.2,0.1,2.0
9,158,0.7,0.2,0.1,1.9
9,549,0.6,0.2,0.2,2.0
9,257,0.6,0.3,0.1,2.2
9,290,0.7,0.2,0.1,1.9
9,1053,0.3,0.5,0.2,1.9
9,112,0.7,0.2,0.1,1.9
9,1105,0.7,0.2,0.1,2.2
9,365,0.6,0.3,0.1,2.2
9,455,0.1,0.7,0.2,1.9
9,786,0.6,0.1,0.3,2.1
9,1090,0.6,0.1,0.3,2.1
9,203,0.7,0.2,0.1,2.1
9,969,0.7,0.2,0.1,2.2
10,1203,0.6,0.2,0.2,1.8
10,406,0.2,0.4,0.4,2.1
10,1064,0.7,0.2,0.1,2.1
10,391,0.7,0.2,0.1,2.1
10,1129,0.7,0.2,0.1,1.9
10,518,0.7,0.2,0.1,2.1
10,388,0.7,0.2,0.1,2.1
10,654,0.7,0.2,0.1,2.0
10,907,0.6,0.2,0.2,2.2
10,825,0.7,0.2,0.1,1.8
10,247,0.4,0.4,0.4,1.9
10,940,0.5,0.2,0.3,1.9
10,643,0.7,0.2,0.1,2.0
10,493,0.4,0.3,0.3,1.8
10,55,0.7,0.2,0.1,2.2
10,743,0.5,0.2,0.3,2.1
10,95,0.7,0.2,0.1,2.0
10,1434,0.7,0.2,0.1,1.9
10,627,0.6,0.2,0.2,2.0
10,740,0.6,0.3,0.1,2.2
10,959,0.7,0.2,0.1,1.9
10,1049,0.6,0.1,0.3,2.1
10,1201,0.6,0.1,0.3,2.2
10,532,0.7,0.2,0.1,2.2
10,906,0.5,0.2,0.3,1.8
10,1442,0.7,0.2,0.1,2.2
10,680,0.6,0.1,0.3,2.1
10,341,0.6,0.3,0.1,2.2
10,1357,0.7,0.2,0.1,2.1
10,526,0.2,0.7,0.1,2.0
11,1125,0.2,0.4,0.4,1.8
11,886,0.6,0.3,0.1,2.2
11,964,0.7,0.2,0.1,2.1
11,1344,0.4,0.4,0.4,2.0
11,1197,0.7,0.2,0.1,1.9
11,481,0.7,0.2,0.1,2.1
11,241,0.7,0.2,0.1,2.1
11,345,0.7,0.2,0.1,2.0
11,1249,0.5,0.2,0.3,2.2
11,342,0.7,0.2,0.1,1.8
11,215,0.6,0.2,0.2,2.1
11,319,0.7,0.2,0.1,1.9
11,1416,0.7,0.2,0.1,2.0
11,1337,0.7,0.2,0.1,2.1
11,48,0.7,0.2,0.1,2.2
11,784,0.5,0.2,0.3,2.1
11,211,0.7,0.2,0.1,2.0
11,272,0.7,0.2,0.1,1.9
11,492,0.1,0.7,0.2,2.0
11,133,0.6,0.3,0.1,2.2
11,567,0.7,0.2,0.1,1.9
11,179,0.2,0.6,0.2,2.1
11,697,0.6,0.1,0.3,2.2
11,1377,0.6,0.2,0.2,2.0
11,1428,0.5,0.2,0.3,2.2
11,435,0.7,0.2,0.1,2.2
11,579,0.6,0.1,0.3,2.1
11,1115,0.7,0.2,0.1,1.9
11,877,0.7,0.2,0.1,2.1
11,664,0.7,0.2,0.1,2.2
12,486,0.2,0.4,0.4,1.8
12,251,0.6,0.3,0.1,2.2
12,178,0.7,0.2,0.1,2.1
12,1020,0.6,0.3,0.1,1.8
12,10,0.7,0.2,0.1,1.9
12,1171,0.7,0.2,0.1,2.1
12,824,0.7,0.2,0.1,2.1
12,315,0.7,0.2,0.1,2.0
12,1232,0.3,0.5,0.2,2.0
12,89,0.7,0.2,0.1,2.0
12,1149,0.6,0.2,0.2,2.1
12,393,0.4,0.2,0.4,1.9
12,915,0.7,0.2,0.1,2.0
12,416,0.7,0.2,0.1,2.1
12,438,0.7,0.2,0.1,2.2
12,820,0.5,0.2,0.3,2.1
12,127,0.4,0.2,0.4,2.0
12,935,0.7,0.2,0.1,1.9
12,141,0.2,0.6,0.2,2.2
12,389,0.6,0.1,0.3,1.9
12,496,0.7,0.2,0.1,1.9
12,234,0.6,0.1,0.3,1.9
12,1299,0.6,0.1,0.3,2.2
12,870,0.7,0.2,0.1,2.2
12,1286,0.6,0.3,0.1,2.2
12,1238,0.7,0.2,0.1,2.2
12,1002,0.6,0.1,0.3,2.1
12,1214,0.6,0.3,0.1,2.2
12,111,0.7,0.2,0.1,2.1
12,1420,0.7,0.2,0.1,2.2
