,year,ID,r_c,r_r,r_poi,FAR
0,1,14491.0,0.5,0.2,0.3,2.1
1,1,14601.0,0.3,0.3,0.4,2.2
2,1,14069.0,0.7,0.2,0.1,2.1
3,1,14708.0,0.4,0.3,0.3,1.9
4,1,14100.0,0.3,0.5,0.2,2.0
5,1,14628.0,0.5,0.2,0.3,2.1
6,2,14603.0,0.3,0.3,0.4,2.1
7,2,14624.0,0.3,0.3,0.4,1.9
8,2,14707.0,0.5,0.2,0.3,1.8
9,2,14478.0,0.5,0.2,0.3,1.8
10,2,14654.0,0.4,0.2,0.4,2.1
11,2,48.0,0.4,0.2,0.4,2.1
12,3,14075.0,0.6,0.2,0.2,2.1
13,3,14115.0,0.6,0.2,0.2,1.8
14,3,14757.0,0.5,0.2,0.3,2.1
15,3,14646.0,0.2,0.6,0.2,1.9
16,3,14704.0,0.6,0.2,0.2,2.2
17,3,14532.0,0.4,0.2,0.4,2.0
18,4,14484.0,0.6,0.2,0.2,2.1
19,4,14656.0,0.4,0.2,0.4,2.2
20,4,14631.0,0.7,0.2,0.1,2.1
21,4,14726.0,0.2,0.4,0.4,1.9
22,4,14490.0,0.4,0.2,0.4,2.0
23,4,14483.0,0.6,0.1,0.3,2.2
24,5,14501.0,0.4,0.2,0.4,2.2
25,5,14635.0,0.6,0.2,0.2,1.8
26,5,14125.0,0.4,0.3,0.3,1.8
27,5,14099.0,0.3,0.3,0.4,2.2
28,5,14497.0,0.6,0.1,0.3,2.0
29,5,15554.0,0.6,0.2,0.2,2.2
30,6,14660.0,0.6,0.2,0.2,2.2
31,6,14521.0,0.4,0.3,0.3,1.9
32,6,14581.0,0.3,0.3,0.4,2.2
33,6,14688.0,0.2,0.4,0.4,2.1
34,6,14709.0,0.5,0.2,0.3,2.1
35,6,14475.0,0.4,0.2,0.4,1.8
36,7,14333.0,0.6,0.2,0.2,2.2
37,7,14539.0,0.4,0.2,0.4,2.2
38,7,14477.0,0.6,0.3,0.1,1.8
39,7,14482.0,0.6,0.3,0.1,1.9
40,7,14088.0,0.6,0.1,0.3,2.0
41,7,14092.0,0.5,0.2,0.3,2.1
42,8,14595.0,0.6,0.2,0.2,2.2
43,8,14566.0,0.6,0.2,0.2,2.1
44,8,15560.0,0.5,0.2,0.3,1.8
45,8,14117.0,0.4,0.2,0.4,2.0
46,8,15542.0,0.6,0.2,0.2,2.1
47,8,14766.0,0.6,0.3,0.1,1.9
48,9,14071.0,0.7,0.2,0.1,2.0
49,9,14128.0,0.5,0.2,0.3,2.2
50,9,14513.0,0.7,0.2,0.1,2.1
51,9,14705.0,0.4,0.2,0.4,2.2
52,9,14563.0,0.4,0.3,0.3,2.0
53,9,14511.0,0.3,0.3,0.4,2.1
54,10,15543.0,0.6,0.3,0.1,2.1
55,10,14685.0,0.6,0.1,0.3,2.1
56,10,14706.0,0.5,0.2,0.3,1.8
57,10,14538.0,0.6,0.1,0.3,2.0
58,10,14098.0,0.7,0.2,0.1,2.1
59,10,14703.0,0.6,0.1,0.3,1.9
60,11,14509.0,0.7,0.2,0.1,2.1
61,11,14634.0,0.4,0.3,0.3,2.2
62,11,14659.0,0.6,0.2,0.2,2.1
63,11,14131.0,0.6,0.2,0.2,2.2
64,11,14057.0,0.6,0.1,0.3,2.2
65,11,14510.0,0.6,0.1,0.3,2.0
66,12,14700.0,0.4,0.3,0.3,2.2
67,12,14610.0,0.3,0.5,0.2,2.0
68,12,14054.0,0.7,0.2,0.1,2.1
69,12,14602.0,0.7,0.2,0.1,1.8
70,12,6377.0,0.7,0.2,0.1,2.0
71,12,14701.0,0.6,0.3,0.1,2.1
