,year,ID,r_c,r_r,r_poi,FAR
0,1,14524.0,0.6,0.2,0.2,1.9
1,1,14117.0,0.6,0.1,0.3,2.1
2,1,14490.0,0.3,0.5,0.2,2.1
3,1,14696.0,0.7,0.2,0.1,2.2
4,1,14336.0,0.3,0.5,0.2,2.0
5,1,14706.0,0.5,0.2,0.3,2.0
6,2,14543.0,0.6,0.3,0.1,2.0
7,2,14501.0,0.4,0.2,0.4,2.0
8,2,14601.0,0.4,0.2,0.4,1.8
9,2,14763.0,0.3,0.3,0.4,1.8
10,2,14842.0,0.3,0.3,0.4,1.8
11,2,14803.0,0.3,0.3,0.4,1.8
12,3,14669.0,0.3,0.5,0.2,1.9
13,3,14688.0,0.5,0.2,0.3,2.1
14,3,14651.0,0.2,0.6,0.2,1.9
15,3,14609.0,0.6,0.3,0.1,1.8
16,3,14113.0,0.2,0.4,0.4,1.8
17,3,14757.0,0.3,0.3,0.4,2.1
18,4,14806.0,0.2,0.6,0.2,1.9
19,4,14652.0,0.3,0.3,0.4,2.2
20,4,13763.0,0.5,0.2,0.3,1.8
21,4,14354.0,0.6,0.2,0.2,1.9
22,4,14595.0,0.2,0.4,0.4,1.8
23,4,14507.0,0.5,0.2,0.3,1.9
24,5,14855.0,0.3,0.3,0.4,2.1
25,5,14597.0,0.6,0.3,0.1,2.2
26,5,15543.0,0.6,0.2,0.2,2.2
27,5,14766.0,0.2,0.7,0.1,2.1
28,5,14659.0,0.6,0.1,0.3,2.2
29,5,14637.0,0.4,0.3,0.3,2.2
30,6,14071.0,0.3,0.3,0.4,2.0
31,6,14060.0,0.2,0.7,0.1,1.8
32,6,14635.0,0.6,0.2,0.2,2.1
33,6,14123.0,0.4,0.2,0.4,2.0
34,6,14758.0,0.2,0.6,0.2,2.0
35,6,14520.0,0.6,0.1,0.3,2.0
36,7,14491.0,0.7,0.2,0.1,2.2
37,7,14656.0,0.2,0.6,0.2,2.1
38,7,14683.0,0.2,0.7,0.1,2.2
39,7,14130.0,0.4,0.3,0.3,1.8
40,7,14707.0,0.7,0.2,0.1,2.2
41,7,14565.0,0.3,0.3,0.4,1.9
42,8,14649.0,0.4,0.2,0.4,2.2
43,8,14352.0,0.4,0.2,0.4,1.8
44,8,14844.0,0.6,0.3,0.1,2.0
45,8,14729.0,0.2,0.4,0.4,1.9
46,8,14685.0,0.1,0.6,0.3,2.0
47,8,14477.0,0.6,0.3,0.1,2.0
48,9,14852.0,0.1,0.6,0.3,2.0
49,9,14703.0,0.4,0.2,0.4,1.9
50,9,14762.0,0.2,0.7,0.1,2.2
51,9,14131.0,0.6,0.3,0.1,1.9
52,9,14636.0,0.1,0.6,0.3,1.9
53,9,14646.0,0.6,0.1,0.3,2.1
54,10,15345.0,0.6,0.3,0.1,1.8
55,10,14700.0,0.4,0.2,0.4,1.9
56,10,14689.0,0.3,0.3,0.4,2.2
57,10,14125.0,0.4,0.2,0.4,2.1
58,10,14728.0,0.3,0.5,0.2,2.1
59,10,14695.0,0.4,0.2,0.4,2.0
60,11,14837.0,0.7,0.2,0.1,2.1
61,11,14631.0,0.6,0.3,0.1,2.1
62,11,15544.0,0.3,0.5,0.2,1.8
63,11,14655.0,0.5,0.2,0.3,1.8
64,11,14512.0,0.1,0.7,0.2,2.0
65,11,14838.0,0.6,0.1,0.3,2.1
66,12,14654.0,0.2,0.4,0.4,1.9
67,12,14693.0,0.5,0.2,0.3,1.9
68,12,14483.0,0.5,0.2,0.3,1.8
69,12,15542.0,0.2,0.7,0.1,2.2
70,12,11966.0,0.4,0.3,0.3,2.2
71,12,6377.0,0.6,0.2,0.2,2.2
