,year,ID,r_c,r_r,r_poi,FAR
0,1,14706.0,0.2,0.7,0.1,2.2
1,1,14726.0,0.3,0.3,0.4,2.1
2,1,14624.0,0.5,0.2,0.3,2.0
3,1,14532.0,0.3,0.3,0.4,1.9
4,1,14500.0,0.3,0.5,0.2,1.8
5,1,14099.0,0.3,0.3,0.4,2.2
6,2,14100.0,0.6,0.2,0.2,2.0
7,2,12715.0,0.7,0.2,0.1,1.9
8,2,14709.0,0.3,0.3,0.4,1.8
9,2,14482.0,0.6,0.3,0.1,1.9
10,2,14088.0,0.6,0.3,0.1,2.0
11,2,14092.0,0.2,0.4,0.4,2.0
12,3,14079.0,0.1,0.6,0.3,2.1
13,3,14601.0,0.3,0.3,0.4,2.2
14,3,14498.0,0.6,0.2,0.2,2.1
15,3,14512.0,0.3,0.3,0.4,1.9
16,3,14333.0,0.6,0.2,0.2,2.2
17,3,14628.0,0.5,0.2,0.3,1.9
18,4,14538.0,0.3,0.3,0.4,2.1
19,4,14483.0,0.7,0.2,0.1,2.1
20,4,15554.0,0.5,0.2,0.3,1.8
21,4,14539.0,0.2,0.6,0.2,2.2
22,4,14656.0,0.4,0.2,0.4,2.2
23,4,14501.0,0.6,0.2,0.2,2.2
24,5,14102.0,0.7,0.2,0.1,2.1
25,5,15560.0,0.1,0.6,0.3,1.8
26,5,14514.0,0.4,0.3,0.3,2.1
27,5,14513.0,0.4,0.2,0.4,2.2
28,5,14497.0,0.6,0.1,0.3,2.2
29,5,14332.0,0.2,0.4,0.4,2.2
30,6,14705.0,0.6,0.2,0.2,2.2
31,6,6377.0,0.6,0.1,0.3,2.0
32,6,15543.0,0.4,0.2,0.4,2.2
33,6,14707.0,0.5,0.2,0.3,1.9
34,6,14659.0,0.6,0.1,0.3,2.2
35,6,14654.0,0.2,0.4,0.4,2.2
36,7,12091.0,0.6,0.2,0.2,2.2
37,7,14757.0,0.1,0.6,0.3,1.8
38,7,14057.0,0.7,0.2,0.1,1.9
39,7,14071.0,0.5,0.2,0.3,2.2
40,7,14490.0,0.4,0.2,0.4,2.2
41,7,14623.0,0.3,0.5,0.2,1.9
42,8,14634.0,0.6,0.3,0.1,2.2
43,8,14470.0,0.6,0.1,0.3,2.1
44,8,15542.0,0.2,0.6,0.2,1.9
45,8,14685.0,0.3,0.5,0.2,1.8
46,8,14076.0,0.7,0.2,0.1,2.2
47,8,14123.0,0.6,0.2,0.2,2.2
48,9,14631.0,0.6,0.3,0.1,2.2
49,9,14491.0,0.3,0.3,0.4,2.1
50,9,48.0,0.7,0.2,0.1,1.9
51,9,14511.0,0.6,0.2,0.2,2.2
52,9,14477.0,0.4,0.3,0.3,1.8
53,9,14560.0,0.7,0.2,0.1,1.9
54,10,14484.0,0.6,0.2,0.2,2.2
55,10,14543.0,0.3,0.3,0.4,2.2
56,10,14581.0,0.7,0.2,0.1,2.1
57,10,14075.0,0.7,0.2,0.1,1.9
58,10,14098.0,0.3,0.3,0.4,1.9
59,10,14510.0,0.6,0.3,0.1,2.2
60,11,14660.0,0.6,0.1,0.3,2.2
61,11,14121.0,0.4,0.3,0.3,2.0
62,11,14632.0,0.6,0.2,0.2,2.2
63,11,14117.0,0.6,0.3,0.1,1.9
64,11,14703.0,0.7,0.2,0.1,2.1
65,11,14475.0,0.2,0.4,0.4,1.8
66,12,14702.0,0.2,0.6,0.2,2.0
67,12,14054.0,0.6,0.2,0.2,2.2
68,12,14521.0,0.4,0.2,0.4,2.2
69,12,14766.0,0.6,0.2,0.2,2.1
70,12,14700.0,0.6,0.1,0.3,2.0
71,12,14610.0,0.3,0.3,0.4,2.1
