,AREA,R_M,R_T,R_P,weighted_R_M,weighted_R_T,weighted_R_P,cost_balance,R_T_ratio,R_P_ratio
0,4861373.267825957,26972798976.0,-0.05773019790649414,0.0001430083066225052,5394.56005859375,-2886.510009765625,7150.41552734375,0.0,-0.009495880454778671,0.0054366555996239185
1,3263643.7804066315,21660884992.0,-0.024806499481201172,0.00010003522038459778,4332.17724609375,-1240.324951171875,5001.76123046875,0.0,-0.004041970241814852,0.003788567380979657
2,4184561.203482867,16090355712.0,-0.016324996948242188,0.0001322086900472641,3218.0712890625,-816.2498779296875,6610.4345703125,0.0,-0.0026492862962186337,0.0049821059219539165
3,4673129.746263079,33246631936.0,-0.032744407653808594,0.00012295693159103394,6649.32666015625,-1637.2203369140625,6147.8466796875,0.0,-0.005299853626638651,0.00461209611967206
4,4568206.714902604,38750445568.0,-0.027095794677734375,0.00015495158731937408,7750.08935546875,-1354.789794921875,7747.57958984375,0.0,-0.0043624755926430225,0.005778624210506678
5,4958721.36573949,32962545664.0,-0.013605117797851562,0.0001677926629781723,6592.50927734375,-680.255859375,8389.6328125,0.0,-0.002180936047807336,0.006218594964593649
6,5431086.234992599,38765031424.0,-0.019451618194580078,0.0001606140285730362,7753.00634765625,-972.5809326171875,8030.70166015625,0.0,-0.0031113596633076668,0.00591732282191515
7,4613966.247895094,33094803456.0,-0.024089336395263672,0.00012842006981372833,6618.9609375,-1204.466796875,6421.00341796875,0.0,-0.0038412287831306458,0.0047089578583836555
8,5365395.447110773,40617492480.0,-0.02181720733642578,0.00015880540013313293,8123.49853515625,-1090.8603515625,7940.27001953125,0.0,-0.0034656082279980183,0.0057894266210496426
9,4876869.760308097,46192664576.0,-0.026968955993652344,0.0001407228410243988,9238.533203125,-1348.44775390625,7036.14208984375,0.0,-0.004269155208021402,0.005104022100567818
10,3415749.4559669183,26920288256.0,-0.009492874145507812,0.00011030957102775574,5384.0576171875,-474.6437072753906,5515.478515625,0.0,-0.001496323267929256,0.003984988201409578
11,2064110.4090190013,21880877056.0,-0.00576019287109375,4.420056939125061e-05,4376.17529296875,-288.0096435546875,2210.028564453125,0.0,-0.0009065992780961096,0.001594221917912364
