year,ID,r_c,r_r,r_poi,FAR
6,14161,0.4,0.3,0.3,1.9
6,892,0.6,0.2,0.2,2.2
6,15192,0.4,0.2,0.4,2.1
6,14066,0.5,0.2,0.3,1.9
6,14597,0.3,0.3,0.4,2.2
6,14123,0.6,0.1,0.3,1.9
6,14497,0.6,0.3,0.1,2.2
6,15321,0.7,0.2,0.1,2.2
6,15551,0.6,0.1,0.3,2.1
6,9498,0.4,0.2,0.4,1.8
6,14084,0.7,0.2,0.1,2.2
6,14752,0.6,0.1,0.3,2.0
6,14087,0.7,0.2,0.1,1.9
6,14102,0.7,0.2,0.1,2.0
6,14709,0.6,0.2,0.2,2.1
6,14751,0.3,0.3,0.4,2.1
6,14599,0.6,0.3,0.1,2.2
6,14407,0.6,0.2,0.2,2.2
6,14139,0.7,0.2,0.1,2.2
6,14408,0.6,0.3,0.1,2.2
6,14543,0.6,0.1,0.3,2.2
6,15036,0.5,0.2,0.3,1.8
6,14700,0.4,0.2,0.4,1.9
6,13346,0.6,0.2,0.2,2.0
6,15023,0.2,0.4,0.4,1.9
6,14457,0.6,0.2,0.2,2.0
6,14083,0.6,0.2,0.2,1.9
6,14684,0.3,0.3,0.4,2.1
6,14104,0.6,0.1,0.3,1.8
7,15562,0.5,0.2,0.3,2.0
7,14682,0.4,0.3,0.3,1.9
7,15543,0.6,0.2,0.2,2.2
7,14761,0.4,0.2,0.4,2.1
7,14495,0.5,0.2,0.3,1.9
7,14762,0.3,0.3,0.4,2.2
7,14065,0.6,0.1,0.3,1.9
7,14530,0.6,0.3,0.1,2.2
7,14581,0.6,0.2,0.2,1.8
7,14656,0.6,0.1,0.3,2.1
7,15002,0.4,0.2,0.4,1.8
7,14532,0.7,0.2,0.1,2.2
7,14610,0.6,0.1,0.3,2.0
7,14738,0.7,0.2,0.1,1.9
7,15027,0.7,0.2,0.1,2.0
7,14141,0.6,0.2,0.2,2.1
7,14128,0.3,0.3,0.4,2.1
7,14040,0.6,0.3,0.1,2.2
7,14997,0.6,0.2,0.2,2.2
7,6377,0.7,0.2,0.1,2.2
