District,R_M,R_P,R_T,R_total
Fengtai,35.80545271448688,103.62205713665675,18.8588105307685,158.28632038191208
Remaining,2.2952278082097317,4.8786942739335295,1.4245690239800346,8.598491106123296
Daxing,6.608899509959714,4.278687298487103,8.381774425506595,19.26936123395341
Fangshan,0.33306700040277704,5.214299277653767,3.1280329492357057,8.67539922729225
Changping,20.849057320374307,28.77238963293653,21.212080584632027,70.83352753794284
Chaoyang,90.74267849756801,144.62084573412704,34.10501639048257,269.4685406221776
Haidian,14.194614615781862,32.511907862103165,7.795078754425049,54.50160123231009
Tongzhou,3.0248129858964283,6.01566181485615,4.580337736341689,13.62081253709427
Shunyi,3.092359492020581,-4.497550843253969,0.08694436815049914,-1.3182469830828878
