District,R_M,R_P,R_T,R_total
Fengtai,46.70429338779661,50.239604647197396,15.745336479610877,112.6892345146049
Remaining,3.640585229243151,3.0874341207837297,0.7207282384236652,7.448747588450543
Daxing,26.17873347256396,-18.92240590897818,7.589572005801728,14.84589956938751
Fangshan,14.302696431868167,-6.941747659350193,9.890671306186253,17.25162007870422
Changping,30.880834555790724,31.447999596974206,24.562784300910096,86.89161845367506
Chaoyang,53.31225143839502,91.15286264570932,19.649722311231816,164.11483639533617
Haidian,62.511045858192475,-2.047859312996031,12.34304481082492,72.80623135602137
Tongzhou,13.227568561186274,-7.195725988963291,5.472173690795899,11.504016263018887
Shunyi,16.410980429110055,-14.985201202876985,3.595159318712022,5.020938544945112
