,Area,ID,assign_row,assign_col
0,0.238053275361,48,33.0,39.0
1,0.00515076763988,243,31.0,33.0
2,0.0427241323141,2238,40.0,36.0
3,0.0126395026685,3732,38.0,36.0
4,0.320813202714,5633,38.0,43.0
5,0.0506229632611,6377,29.0,32.0
6,0.0314642956119,11966,27.0,38.0
7,0.0121072023732,11967,30.0,38.0
8,0.0533518643698,11969,29.0,39.0
9,0.00748427906671,12090,31.0,35.0
10,0.0128541554753,12091,31.0,36.0
11,0.018206026539,12678,29.0,35.0
12,0.00910617625907,12715,32.0,32.0
13,0.0359923082508,13346,30.0,40.0
14,0.0132702570189,13763,30.0,40.0
15,0.0184284261623,14050,24.0,35.0
16,0.0647944782152,14054,26.0,35.0
17,0.0485900063573,14057,28.0,34.0
18,0.0055780602065,14060,29.0,31.0
19,0.00814557047867,14069,19.0,24.0
20,0.00872800574031,14070,25.0,36.0
21,0.0598666612236,14071,25.0,35.0
22,0.016537039454,14072,24.0,35.0
23,0.0631721102821,14075,24.0,34.0
24,0.0856362886141,14076,39.0,32.0
25,0.0307687368723,14077,26.0,40.0
26,0.0333763966149,14079,38.0,32.0
27,0.0613250323234,14088,38.0,31.0
28,0.0643297974564,14092,38.0,30.0
29,0.0268832626705,14098,29.0,36.0
30,0.0610260463922,14099,29.0,34.0
31,0.0337299797496,14100,29.0,36.0
32,0.00849995250261,14101,29.0,37.0
33,0.0431444382091,14102,29.0,37.0
34,0.025318286375,14107,30.0,41.0
35,0.0219811338439,14113,19.0,35.0
36,0.00861134883979,14115,31.0,34.0
37,0.0396216585419,14117,23.0,32.0
38,0.0139036184214,14121,30.0,41.0
39,0.0705967731304,14122,34.0,44.0
40,0.0424872976393,14123,30.0,43.0
41,0.0269529381957,14124,30.0,41.0
42,0.0509553824964,14125,30.0,39.0
43,0.210060639462,14126,37.0,42.0
44,0.0963800215569,14128,31.0,45.0
45,0.119641243488,14129,37.0,42.0
46,0.0658990999236,14130,38.0,43.0
47,0.0912737821493,14131,36.0,35.0
48,0.0316593031108,14132,40.0,36.0
49,0.0258096261694,14137,36.0,36.0
50,0.378592694814,14142,19.0,41.0
51,0.492036653703,14143,19.0,42.0
52,0.0761928542022,14144,19.0,42.0
53,0.0164951064548,14332,38.0,33.0
54,0.0471347480652,14333,38.0,33.0
55,0.0157207883027,14336,29.0,37.0
56,0.0360227850371,14351,37.0,42.0
57,0.0109447704996,14352,37.0,44.0
58,0.0365642987821,14353,37.0,44.0
59,0.0232969184442,14354,37.0,44.0
60,0.0472361685314,14355,37.0,44.0
61,0.0160854993205,14356,36.0,45.0
62,0.0492237867544,14357,36.0,45.0
63,0.00451171562537,14470,24.0,35.0
64,0.0232250706515,14471,24.0,34.0
65,0.0239935624714,14472,22.0,36.0
66,0.00959484978191,14473,22.0,36.0
67,0.0138451034543,14474,24.0,34.0
68,0.0422032605663,14475,35.0,31.0
69,0.0804273912029,14477,39.0,30.0
70,0.0362472343577,14478,39.0,30.0
71,0.0332124126308,14479,39.0,30.0
72,0.0328752146764,14480,39.0,30.0
73,0.0175115124321,14481,39.0,30.0
74,0.0681096691295,14482,38.0,30.0
75,0.0565327103834,14483,39.0,30.0
76,0.0918086621052,14484,33.0,37.0
77,0.00528993462279,14485,31.0,35.0
78,0.10623701359,14490,35.0,31.0
79,0.0323836514945,14491,37.0,32.0
80,0.0366271250234,14496,40.0,32.0
81,0.146012977244,14497,39.0,31.0
82,0.015413074822,14498,39.0,33.0
83,0.0227529478939,14499,39.0,32.0
84,0.0243946896108,14500,39.0,32.0
85,0.0432070670052,14501,39.0,32.0
86,0.0292178245608,14502,40.0,32.0
87,0.0145278591586,14503,39.0,32.0
88,0.0592777610171,14504,39.0,32.0
89,0.0237613765678,14505,39.0,32.0
90,0.0199757926007,14506,39.0,32.0
91,0.0158261013498,14507,39.0,32.0
92,0.0160125073278,14508,38.0,32.0
93,0.0239769767588,14509,36.0,31.0
94,0.0503660223898,14510,38.0,32.0
95,0.0517016485556,14511,37.0,33.0
96,0.0152997424545,14512,37.0,32.0
97,0.101747484656,14513,38.0,32.0
98,0.0126887247746,14514,37.0,33.0
99,0.0256328622149,14515,38.0,33.0
100,0.00789779339184,14516,37.0,32.0
101,0.0181603500034,14517,37.0,33.0
102,0.011718034252,14518,37.0,32.0
103,0.0148285729859,14519,37.0,32.0
104,0.0115311592621,14520,38.0,33.0
105,0.0469072014437,14521,38.0,33.0
106,0.0113732778864,14522,38.0,32.0
107,0.0211376950883,14523,39.0,32.0
108,0.0429219242207,14524,38.0,33.0
109,0.00849858733773,14526,37.0,31.0
110,0.161932788732,14532,39.0,30.0
