year,row,column,r_c,r_r,r_poi,FAR
5,12,12,0.3,0.3,0.4,2.2
5,36,35,0.6,0.3,0.1,1.9
5,38,37,0.2,0.4,0.4,2.1
5,19,41,0.5,0.2,0.3,1.9
5,29,37,0.7,0.2,0.1,2.0
5,39,4,0.6,0.1,0.3,1.9
6,46,27,0.1,0.7,0.2,2.1
6,5,12,0.2,0.6,0.2,2.1
6,28,13,0.3,0.5,0.2,2.0
6,46,39,0.7,0.2,0.1,1.9
6,16,12,0.4,0.2,0.4,1.8
6,49,1,0.4,0.4,0.4,2.0
6,39,50,0.1,0.6,0.3,1.9
6,45,1,0.1,0.6,0.3,2.1
6,19,49,0.5,0.2,0.3,2.2
6,34,44,0.3,0.5,0.2,2.2
6,36,44,0.2,0.6,0.2,1.8
6,6,30,0.2,0.7,0.1,2.1
6,28,34,0.4,0.3,0.3,2.0
6,49,10,0.3,0.5,0.2,1.8
6,20,18,0.6,0.3,0.1,2.0
6,12,42,0.1,0.6,0.3,2.0
6,38,32,0.1,0.7,0.2,2.0
6,27,36,0.7,0.2,0.1,1.9
6,45,29,0.5,0.2,0.3,1.8
6,35,31,0.3,0.3,0.4,2.1
6,11,32,0.6,0.1,0.3,2.1
6,12,24,0.4,0.4,0.4,2.1
6,52,1,0.7,0.2,0.1,1.9
6,52,4,0.6,0.3,0.1,2.0
6,31,46,0.4,0.2,0.4,2.0
6,19,36,0.6,0.1,0.3,1.9
6,53,3,0.4,0.4,0.4,2.0
6,25,35,0.7,0.2,0.1,2.0
6,15,13,0.5,0.2,0.3,2.2
6,16,22,0.2,0.7,0.1,2.2
7,41,26,0.3,0.5,0.2,2.2
7,32,15,0.2,0.4,0.4,1.8
7,44,22,0.2,0.7,0.1,1.8
7,48,2,0.2,0.7,0.1,1.8
7,25,2,0.2,0.7,0.1,2.2
7,18,17,0.1,0.7,0.2,2.1
7,38,33,0.4,0.3,0.3,2.0
7,18,2,0.2,0.6,0.2,2.2
7,50,11,0.2,0.7,0.1,1.9
7,6,40,0.4,0.4,0.4,1.8
7,42,31,0.4,0.2,0.4,1.8
7,37,12,0.2,0.4,0.4,1.9
7,6,23,0.6,0.3,0.1,1.8
7,35,37,0.4,0.2,0.4,2.2
7,41,10,0.2,0.4,0.4,2.2
7,17,24,0.2,0.6,0.2,2.1
7,38,43,0.4,0.4,0.4,2.1
7,38,36,0.2,0.4,0.4,1.9
7,3,13,0.3,0.5,0.2,1.8
7,14,25,0.2,0.4,0.4,1.8
7,4,30,0.2,0.6,0.2,1.8
7,40,46,0.6,0.2,0.2,2.2
7,24,35,0.2,0.4,0.4,1.9
7,39,16,0.7,0.2,0.1,2.2
7,16,14,0.2,0.4,0.4,2.2
7,8,17,0.2,0.6,0.2,1.9
7,53,5,0.4,0.4,0.4,2.0
7,30,40,0.1,0.7,0.2,1.8
7,47,25,0.3,0.5,0.2,2.2
7,4,12,0.6,0.2,0.2,2.1
