,AREA,R_M,R_T,R_P,weighted_R_M,weighted_R_T,weighted_R_P,cost_balance,R_T_ratio,R_P_ratio
0,6385379.719805277,3227032576.0,-0.057099342346191406,0.0003535859286785126,0.0,-0.0,17679.296875,169.91733375566656,-0.009392112493515015,0.013335296884179115
1,5899376.002166483,8109203968.0,-0.03199958801269531,0.0003345441073179245,0.0,-0.0,16727.205078125,0.0,-0.0052145482040941715,0.012459935620427132
2,4856759.537110651,5929501184.0,-0.029594898223876953,0.0002600327134132385,0.0,-0.0,13001.6357421875,0.0,-0.004797670058906078,0.009591898880898952
3,5464428.080887298,9665454080.0,-0.030551433563232422,0.00026369839906692505,0.0,-0.0,13184.919921875,0.0,-0.004929087124764919,0.009633410722017288
4,3438458.4161817566,3528044544.0,-0.011649608612060547,0.00017930381000041962,0.0,-0.0,8965.1904296875,0.0,-0.001870298059657216,0.006507686339318752
5,2794917.200500366,8791042048.0,-0.010997772216796875,0.0001335199922323227,0.0,-0.0,6675.99951171875,0.0,-0.0017623521853238344,0.004822629503905773
6,3384921.251016855,2878918656.0,-0.01537322998046875,0.0001729317009449005,0.0,-0.0,8646.5849609375,0.0,-0.0024591691326349974,0.006207374855875969
7,3204008.3378702956,664904064.0,-0.012951850891113281,0.00016009621322155,0.0,-0.0,8004.810546875,0.0,-0.0020667521748691797,0.005713810678571463
8,6307767.28515162,4733753344.0,-0.0348658561706543,0.0003204401582479477,0.0,-0.0,16022.0078125,0.0,-0.005552138201892376,0.01130714826285839
9,2567849.5965217105,-2967161856.0,-0.013394832611083984,0.00012688711285591125,-0.0,-0.0,6344.35546875,0.0,-0.0021212538704276085,0.004457419738173485
10,2332120.4701970797,6492093440.0,-0.01166391372680664,0.00010216794908046722,0.0,-0.0,5108.3974609375,0.0,-0.001843229285441339,0.003576224436983466
11,4026791.3792332467,1096887552.0,-0.01457977294921875,0.00018661841750144958,0.0,-0.0,9330.9208984375,0.0,-0.002299778861925006,0.006489883176982403
