,ID,year,FAR,r_c,r_r,r_poi
295,14763,5,1.9,0.1,0.7,0.2
296,14765,5,1.9,0.1,0.7,0.2
297,14766,5,1.9,0.1,0.7,0.2
298,14791,8,1.9,0.1,0.7,0.2
299,14832,11,1.9,0.4,0.4,0.2
300,14835,11,1.9,0.4,0.4,0.2
301,14836,11,1.9,0.4,0.4,0.2
302,14837,11,1.9,0.4,0.4,0.2
303,14838,11,1.9,0.4,0.4,0.2
304,14839,11,1.9,0.4,0.4,0.2
305,14840,11,1.9,0.4,0.4,0.2
306,14841,11,1.9,0.4,0.4,0.2
307,14842,11,1.9,0.4,0.4,0.2
308,14843,11,1.9,0.4,0.4,0.2
309,14844,11,1.9,0.4,0.4,0.2
310,14845,11,1.9,0.4,0.4,0.2
311,14846,11,1.9,0.4,0.4,0.2
312,14879,10,1.8,0.5,0.2,0.3
313,14973,11,1.9,0.3,0.5,0.2
314,14974,1,2.1,0.6,0.2,0.2
315,14975,1,2.0,0.6,0.1,0.3
316,14976,9,2.0,0.2,0.6,0.2
317,14991,1,2.1,0.6,0.3,0.1
318,14994,9,2.0,0.2,0.6,0.2
319,14995,2,2.0,0.6,0.1,0.3
320,14996,2,1.9,0.6,0.3,0.1
321,14997,2,2.1,0.4,0.2,0.4
322,14998,9,2.0,0.2,0.6,0.2
323,14999,9,2.0,0.2,0.6,0.2
324,15000,9,2.0,0.2,0.6,0.2
325,15001,9,2.0,0.2,0.6,0.2
326,15002,9,2.1,0.3,0.5,0.2
327,15004,9,2.1,0.3,0.5,0.2
328,15019,4,2.0,0.4,0.4,0.2
329,15020,4,2.0,0.4,0.4,0.2
330,15021,4,2.0,0.4,0.4,0.2
331,15023,4,2.0,0.2,0.6,0.2
332,15024,4,2.0,0.2,0.6,0.2
333,15025,4,2.0,0.2,0.6,0.2
334,15026,9,2.1,0.2,0.4,0.4
335,15027,9,2.1,0.2,0.4,0.4
336,15028,9,2.1,0.2,0.4,0.4
337,15029,9,2.1,0.2,0.4,0.4
338,15332,1,1.9,0.7,0.2,0.1
339,15333,1,1.9,0.3,0.3,0.4
340,15334,1,2.0,0.4,0.2,0.4
341,15335,1,2.1,0.6,0.2,0.2
342,15336,1,2.1,0.6,0.1,0.3
343,15337,1,2.0,0.6,0.3,0.1
344,15344,4,2.0,0.2,0.6,0.2
345,15346,1,2.1,0.6,0.2,0.2
346,15360,4,2.0,0.2,0.6,0.2
347,15370,2,2.2,0.3,0.3,0.4
348,15383,11,1.9,0.3,0.5,0.2
349,15541,7,2.1,0.2,0.4,0.4
350,15542,9,2.1,0.2,0.4,0.4
351,15543,6,2.1,0.2,0.4,0.4
352,15545,12,1.8,0.4,0.3,0.3
353,15546,2,2.1,0.7,0.2,0.1
354,15550,4,2.0,0.1,0.7,0.2
355,15551,4,1.9,0.1,0.7,0.2
356,15554,4,2.1,0.4,0.4,0.2
357,15559,12,1.8,0.4,0.3,0.3
358,15560,4,2.1,0.4,0.4,0.2
359,15562,4,2.1,0.2,0.4,0.4
