year,ID,r_c,r_r,r_poi,FAR
6,15015,0.7,0.2,0.1,2.1
6,14315,0.3,0.3,0.4,2.2
6,14079,0.6,0.2,0.2,1.9
6,14464,0.6,0.1,0.3,1.9
6,15378,0.4,0.3,0.3,1.9
6,15327,0.4,0.3,0.3,1.8
6,14879,0.7,0.2,0.1,2.0
6,15115,0.7,0.2,0.1,1.9
6,14811,0.6,0.2,0.2,2.0
6,14484,0.1,0.6,0.3,2.1
6,15317,0.4,0.2,0.4,1.9
6,14324,0.3,0.3,0.4,2.1
6,14601,0.3,0.3,0.4,1.9
6,14412,0.7,0.2,0.1,2.2
6,14827,0.6,0.1,0.3,1.8
6,14048,0.2,0.4,0.4,2.1
6,14220,0.5,0.2,0.3,1.8
6,14390,0.6,0.2,0.2,2.2
6,14667,0.4,0.2,0.4,2.1
6,14757,0.4,0.3,0.3,2.1
6,15147,0.6,0.2,0.2,2.1
6,14255,0.6,0.3,0.1,2.1
6,14969,0.2,0.6,0.2,2.1
6,15232,0.7,0.2,0.1,2.2
6,14122,0.4,0.2,0.4,2.0
6,14171,0.3,0.5,0.2,1.8
6,15316,0.6,0.1,0.3,2.2
6,14401,0.1,0.7,0.2,1.9
6,15022,0.5,0.2,0.3,2.2
7,14814,0.7,0.2,0.1,2.2
7,15535,0.7,0.2,0.1,2.1
7,15082,0.3,0.3,0.4,2.2
7,15129,0.6,0.2,0.2,1.9
7,9296,0.6,0.1,0.3,1.9
7,14545,0.4,0.3,0.3,1.9
7,14391,0.4,0.3,0.3,1.8
7,14945,0.7,0.2,0.1,2.0
7,14435,0.7,0.2,0.1,1.9
7,14623,0.6,0.2,0.2,2.0
7,15051,0.1,0.6,0.3,2.1
7,14378,0.4,0.2,0.4,1.9
7,14031,0.3,0.3,0.4,2.1
7,14670,0.3,0.3,0.4,1.9
7,15543,0.7,0.2,0.1,2.2
7,14977,0.6,0.1,0.3,1.8
7,15340,0.2,0.4,0.4,2.1
7,14478,0.5,0.2,0.3,1.8
7,14041,0.6,0.2,0.2,2.2
7,14308,0.4,0.2,0.4,2.1
7,15306,0.4,0.3,0.3,2.1
7,14482,0.6,0.2,0.2,2.1
7,15326,0.6,0.3,0.1,2.1
7,14088,0.2,0.6,0.2,2.1
7,14458,0.7,0.2,0.1,2.2
7,14622,0.4,0.2,0.4,2.0
7,14624,0.3,0.5,0.2,1.8
7,14131,0.6,0.1,0.3,2.2
7,14744,0.1,0.7,0.2,1.9
7,14707,0.5,0.2,0.3,2.2
8,15110,0.7,0.2,0.1,2.2
8,14191,0.7,0.2,0.1,2.1
8,14831,0.3,0.3,0.4,2.2
8,14709,0.6,0.2,0.2,1.9
8,15289,0.6,0.3,0.1,1.8
8,14652,0.4,0.3,0.3,1.9
8,15224,0.4,0.3,0.3,1.8
8,15008,0.7,0.2,0.1,2.0
8,14819,0.7,0.2,0.1,1.9
8,14536,0.6,0.2,0.2,2.0
8,14477,0.1,0.6,0.3,2.1
8,14558,0.4,0.2,0.4,1.9
8,14930,0.3,0.3,0.4,2.1
8,14967,0.3,0.3,0.4,1.9
8,14959,0.7,0.2,0.1,2.2
8,14490,0.5,0.2,0.3,2.0
8,14421,0.2,0.4,0.4,2.1
8,14202,0.5,0.2,0.3,1.8
8,14730,0.6,0.2,0.2,2.2
8,14578,0.4,0.2,0.4,2.1
8,15194,0.4,0.3,0.3,2.1
8,14761,0.6,0.2,0.2,2.1
8,14604,0.6,0.3,0.1,2.1
8,14745,0.2,0.6,0.2,2.1
8,14960,0.7,0.2,0.1,2.2
8,14043,0.4,0.2,0.4,2.0
8,15382,0.3,0.5,0.2,1.8
8,14454,0.6,0.1,0.3,2.2
8,15199,0.1,0.7,0.2,1.9
8,14909,0.5,0.2,0.3,2.2
9,14496,0.7,0.2,0.1,2.2
9,15195,0.7,0.2,0.1,2.1
9,15321,0.3,0.3,0.4,2.2
9,14384,0.6,0.2,0.2,1.9
