,year,ID,r_c,r_r,r_poi,FAR
138,10,14615,0.1,0.7,0.2,2.1
139,10,14813,0.7,0.2,0.1,2.0
140,11,14791,0.3,0.5,0.2,2.0
141,11,14771,0.7,0.2,0.1,2.0
142,12,14800,0.6,0.1,0.3,2.2
143,12,14769,0.7,0.2,0.1,2.0
144,1,14320,0.7,0.2,0.1,2.0
145,1,14239,0.4,0.2,0.4,1.9
146,2,14033,0.4,0.3,0.3,1.8
147,2,14225,0.2,0.4,0.4,1.9
148,3,14032,0.4,0.3,0.3,1.8
149,3,14233,0.2,0.4,0.4,1.9
150,4,14242,0.4,0.2,0.4,2.1
151,4,14031,0.2,0.4,0.4,1.9
152,5,14229,0.6,0.2,0.2,1.8
153,5,14256,0.2,0.4,0.4,1.9
154,6,14261,0.4,0.3,0.3,1.8
155,6,14255,0.2,0.4,0.4,1.9
156,7,14227,0.4,0.3,0.3,1.8
157,7,14244,0.2,0.4,0.4,1.9
158,8,14250,0.1,0.6,0.3,2.0
159,8,14231,0.2,0.4,0.4,1.9
160,9,14230,0.3,0.3,0.4,2.0
161,9,14034,0.2,0.4,0.4,1.9
162,10,14260,0.4,0.3,0.3,1.8
163,10,14289,0.2,0.4,0.4,1.9
164,11,14258,0.7,0.2,0.1,2.0
165,11,14272,0.2,0.4,0.4,1.9
166,12,14259,0.2,0.7,0.1,1.9
167,12,14275,0.4,0.2,0.4,1.8
168,1,15071,0.4,0.2,0.4,2.2
169,1,15273,0.1,0.7,0.2,2.2
170,1,15288,0.1,0.7,0.2,2.2
171,1,14451,0.7,0.2,0.1,2.0
172,1,14418,0.6,0.3,0.1,1.8
173,1,14642,0.2,0.4,0.4,2.2
174,2,9335,0.6,0.2,0.2,2.0
175,2,9311,0.6,0.3,0.1,2.1
176,2,14460,0.6,0.2,0.2,2.0
177,2,14745,0.7,0.2,0.1,2.0
178,2,15037,0.6,0.3,0.1,1.8
179,2,15276,0.1,0.6,0.3,2.2
180,3,14089,0.6,0.3,0.1,2.1
181,3,14453,0.4,0.2,0.4,1.8
182,3,15299,0.2,0.4,0.4,1.9
183,3,14114,0.2,0.4,0.4,1.8
184,3,14284,0.7,0.2,0.1,2.0
185,3,14135,0.3,0.3,0.4,1.8
186,4,9327,0.4,0.2,0.4,2.2
187,4,15305,0.4,0.2,0.4,1.8
188,4,15254,0.5,0.2,0.3,1.9
189,4,15234,0.7,0.2,0.1,2.0
190,4,9300,0.4,0.2,0.4,2.2
191,4,14087,0.2,0.4,0.4,2.2
192,5,15076,0.6,0.2,0.2,2.2
193,5,9328,0.3,0.3,0.4,2.2
194,5,14455,0.6,0.1,0.3,2.0
195,5,9322,0.7,0.2,0.1,2.0
196,5,14067,0.4,0.2,0.4,1.8
197,5,14055,0.1,0.6,0.3,2.2
198,6,14489,0.6,0.2,0.2,2.0
199,6,4628,0.4,0.2,0.4,1.8
200,6,15307,0.2,0.7,0.1,2.1
201,6,15239,0.7,0.2,0.1,2.0
202,6,15541,0.4,0.2,0.4,1.9
203,6,14752,0.4,0.2,0.4,2.0
204,7,15032,0.6,0.2,0.2,2.0
205,7,14591,0.3,0.3,0.4,1.9
206,7,15327,0.3,0.3,0.4,1.9
207,7,14112,0.5,0.2,0.3,2.1
208,7,9507,0.4,0.2,0.4,1.8
209,7,15279,0.2,0.4,0.4,2.2
210,8,15323,0.4,0.2,0.4,2.2
211,8,14066,0.3,0.3,0.4,2.2
212,8,15346,0.4,0.2,0.4,2.2
213,8,15030,0.4,0.2,0.4,2.1
214,8,14527,0.6,0.1,0.3,1.8
215,8,15313,0.2,0.4,0.4,2.2
216,9,14744,0.6,0.2,0.2,2.0
217,9,15035,0.3,0.3,0.4,2.2
218,9,15064,0.2,0.7,0.1,2.0
219,9,15245,0.4,0.2,0.4,2.1
220,9,14053,0.6,0.3,0.1,1.8
221,9,15277,0.3,0.3,0.4,1.8
222,10,14449,0.6,0.3,0.1,2.1
223,10,14447,0.1,0.6,0.3,1.8
224,10,14584,0.2,0.7,0.1,2.0
225,10,15295,0.4,0.2,0.4,2.1
226,10,15301,0.4,0.2,0.4,1.8
227,10,14080,0.1,0.6,0.3,2.2
228,11,15261,0.3,0.5,0.2,1.8
229,11,15068,0.4,0.2,0.4,1.8
230,11,15036,0.3,0.3,0.4,1.9
231,11,15260,0.7,0.2,0.1,2.0
232,11,13715,0.4,0.2,0.4,1.8
233,11,14188,0.4,0.2,0.4,2.0
234,12,14446,0.4,0.2,0.4,2.2
