,Unnamed: 0,ID,year,FAR,r_c,r_r,r_poi
248,248,14621,8,2,0.6,0.3,0.1
249,249,14622,11,2,0.7,0.2,0.1
250,250,14623,8,2,0.6,0.3,0.1
251,251,14624,3,2,0.6,0.3,0.1
252,252,14627,2,2,0.6,0.3,0.1
253,253,14630,8,2,0.6,0.3,0.1
254,254,14631,7,2,0.6,0.3,0.1
255,255,14632,7,2,0.6,0.3,0.1
256,256,14633,1,2,0.6,0.3,0.1
257,257,14634,11,2,0.7,0.2,0.1
258,258,14635,7,2,0.6,0.3,0.1
259,259,14639,6,2,0.7,0.2,0.1
260,260,14642,10,2,0.6,0.3,0.1
261,261,14643,7,2,0.7,0.2,0.1
262,262,14646,4,2,0.6,0.3,0.1
263,263,14647,4,2,0.6,0.3,0.1
264,264,14654,3,2,0.6,0.3,0.1
265,265,14656,4,2,0.6,0.3,0.1
266,266,14657,4,2,0.7,0.2,0.1
267,267,14658,4,2,0.7,0.2,0.1
268,268,14659,7,2,0.7,0.2,0.1
269,269,14660,1,2,0.6,0.3,0.1
270,270,14685,10,2,0.6,0.3,0.1
271,271,14688,4,2,0.7,0.2,0.1
272,272,14690,4,2,0.7,0.2,0.1
273,273,14693,4,2,0.7,0.2,0.1
274,274,14695,4,2,0.7,0.2,0.1
275,275,14696,4,2,0.7,0.2,0.1
276,276,14697,4,2,0.7,0.2,0.1
277,277,14698,4,2,0.6,0.3,0.1
278,278,14699,1,2,0.6,0.3,0.1
279,279,14700,8,2,0.7,0.2,0.1
280,280,14701,1,2,0.6,0.3,0.1
281,281,14702,10,2,0.6,0.3,0.1
282,282,14704,10,2,0.6,0.3,0.1
283,283,14705,10,2,0.6,0.3,0.1
284,284,14706,10,2,0.6,0.3,0.1
285,285,14708,9,2,0.6,0.3,0.1
286,286,14709,10,2,0.7,0.2,0.1
287,287,14724,11,2,0.7,0.2,0.1
288,288,14726,3,2,0.7,0.2,0.1
289,289,14727,3,2,0.7,0.2,0.1
290,290,14742,7,2,0.7,0.2,0.1
291,291,14744,8,2,0.7,0.2,0.1
292,292,14745,10,2,0.7,0.2,0.1
293,293,14746,10,2,0.7,0.2,0.1
294,294,14747,6,2,0.7,0.2,0.1
295,295,14748,7,2,0.7,0.2,0.1
296,296,14750,7,2,0.7,0.2,0.1
297,297,14751,7,2,0.7,0.2,0.1
298,298,14755,9,2,0.6,0.3,0.1
299,299,14756,9,2,0.6,0.3,0.1
300,300,14763,6,2,0.7,0.2,0.1
301,301,14766,6,2,0.7,0.2,0.1
302,302,14835,1,2,0.6,0.3,0.1
303,303,14836,1,2,0.6,0.3,0.1
304,304,14837,1,2,0.6,0.3,0.1
305,305,14838,1,2,0.6,0.3,0.1
306,306,14839,1,2,0.6,0.3,0.1
307,307,14840,6,2,0.7,0.2,0.1
308,308,14861,4,2,0.6,0.3,0.1
309,309,14875,5,2,0.6,0.3,0.1
310,310,14887,9,2,0.6,0.3,0.1
311,311,14890,12,2,0.7,0.2,0.1
312,312,14891,12,2,0.7,0.2,0.1
313,313,14892,12,2,0.7,0.2,0.1
314,314,14893,12,2,0.7,0.2,0.1
315,315,14894,12,2,0.7,0.2,0.1
316,316,14895,12,2,0.7,0.2,0.1
317,317,14915,12,2,0.7,0.2,0.1
318,318,14939,5,2,0.6,0.3,0.1
319,319,14943,7,2,0.7,0.2,0.1
320,320,14945,5,2,0.6,0.3,0.1
321,321,14946,5,2,0.6,0.3,0.1
322,322,14974,9,2,0.6,0.3,0.1
323,323,14975,9,2,0.6,0.3,0.1
324,324,14976,11,2,0.7,0.2,0.1
325,325,14981,9,2,0.6,0.3,0.1
326,326,14991,6,2,0.6,0.3,0.1
327,327,14993,5,2,0.6,0.3,0.1
328,328,14995,3,2,0.7,0.2,0.1
329,329,14998,12,2,0.7,0.2,0.1
330,330,14999,12,2,0.7,0.2,0.1
331,331,15002,2,2,0.7,0.2,0.1
332,332,15004,4,2,0.6,0.3,0.1
333,333,15021,5,2,0.6,0.3,0.1
334,334,15022,5,2,0.7,0.2,0.1
335,335,15023,5,2,0.6,0.3,0.1
336,336,15024,5,2,0.7,0.2,0.1
337,337,15025,8,2,0.7,0.2,0.1
338,338,15026,3,2,0.6,0.3,0.1
339,339,15027,2,2,0.7,0.2,0.1
340,340,15028,1,2,0.7,0.2,0.1
341,341,15029,1,2,0.7,0.2,0.1
342,342,15047,10,2,0.7,0.2,0.1
