Iteration,Reward
1,3272.1100600898267
2,3415.243260538578
3,3446.5424547076227
4,3598.348886525631
5,3797.4995585799215
6,4150.083985742926
7,4338.850417125225
8,4354.919153523445
9,4504.505692803859
10,4621.3480941057205
11,4721.14612749815
12,4776.875547862053
13,4789.075716269016
14,4819.072917020321
15,4825.018186092377
16,4751.989479660988
17,4823.882981562614
18,4791.394007968903
19,4922.424534189701
20,4988.146372878551
21,5020.584989523888
22,5031.799037128687
23,5120.451394724846
24,5169.966793745756
25,5303.375261306763
26,5415.676268351078
27,5399.329017221928
28,5524.386142772436
29,5628.410968780518
30,5663.486314928532
31,5765.957100141049
32,5879.062333035469
33,5903.486064076424
34,6007.094182372093
35,6131.487396335602
36,6132.87564328909
37,6309.439679765701
38,6395.461528301239
39,6434.202995121479
40,6521.358874225616
41,6655.505696868897
42,6791.963651514054
43,6857.418228083849
44,6915.3940210461615
45,7048.235900747776
46,7106.973762369156
47,7265.670977735519
48,7338.950800919532
49,7539.6550593137745
50,7598.785760307312
51,7589.891147708893
52,7695.74318151474
53,7827.755143105984
54,7920.662043309212
55,8008.349071884155
56,8111.712494194508
57,8190.428469955921
58,8202.733038032055
59,8370.7084307909
60,8626.12933268547
61,8637.18324444294
62,8677.845391839743
63,8883.793701469898
64,8985.39541683197
65,9055.968707537651
66,9067.404778718948
67,9208.172508478165
68,9318.053915858269
69,9204.248872590066
70,9319.537249684334
71,9372.678196382523
72,9479.77993900776
73,9490.130425500869
74,9777.059820842744
75,9782.571599125862
76,9827.71655254364
77,9803.854179000855
78,9941.32737853527
79,9951.372742390633
80,10129.79787364006
81,10124.741081953049
82,10310.474935483933
83,10346.350132989883
84,9361.45775563717
85,8469.869762563705
86,8511.485684001445
87,8518.219417357444
88,8616.648440766334
89,8593.444531679153
90,8638.561060285569
91,8640.259965658188
92,8783.840324485302
93,8819.910966873169
94,8903.595909285545
95,8926.400630116463
96,9145.689684510231
97,9208.12306716442
98,9368.783391475677
99,9443.581428647041
100,9386.47347495556
101,9442.416745352744
102,9620.423526835442
103,9484.052216720582
104,9599.77104525566
105,9828.508369588852
106,9823.505617570878
107,9883.150791168213
108,9937.40165424347
109,9952.378837680817
110,10011.39276304245
111,10078.170071458817
112,10122.52261490822
113,10303.637714910506
114,10205.248500418664
115,10238.559027719497
116,10513.798931121826
117,10455.176096010207
118,10466.034938335419
119,10623.446960783005
120,10655.917453289032
121,10730.764939641953
122,10913.278660440445
123,10746.912625932693
124,10941.259359204769
125,11042.77957932949
126,11012.687945461274
127,11149.328081417083
128,11091.579628705978
129,11129.01475739479
130,10996.182904148101
131,10901.966110658646
132,10823.733060407638
133,11020.192831897735
134,11066.85545258522
135,11207.794711780549
136,11184.318758773803
137,11328.69708442688
138,11294.10244884491
139,11345.577885007859
140,11575.28970079422
141,11687.895754098892
142,11545.435263776779
143,11604.96469039917
144,11660.237414836884
145,11718.939505863189
146,11793.696912145615
147,11516.768334960938
148,11555.290323448182
149,11582.83626179695
150,11829.763332176208
151,11865.08072423935
152,11979.42654285431
153,11739.569688510896
154,11654.465521860122
155,11565.477561569214
156,11521.79034819603
157,11678.109333610535
158,11896.545506095887
159,11973.034002542496
160,12062.906827712059
161,12033.294960451127
162,12147.379153299331
163,12228.388549470901
164,12232.674095392227
165,12501.057744121552
166,12720.557782554626
167,12729.736248588562
168,12610.113965415954
169,12758.128831624985
170,12970.141391944886
171,13114.192447328567
172,13243.22008714676
173,13528.162110948562
174,13685.851070642471
175,13753.379907512664
176,13589.575614452362
177,13552.343504047394
178,13578.792129802703
179,13611.515399074555
180,13813.497370290755
181,14092.204417943954
182,14124.867793273927
183,14136.252982521057
184,13875.754098892212
185,14134.582848358154
186,9065.885881233215
187,7448.226156187057
188,7249.784446239471
189,6946.714592790604
190,7069.567826199532
191,6666.035371875763
192,6624.440969371795
193,6590.858192753792
194,6658.8667671918865
195,6636.416812252998
196,6620.438350892067
197,6673.327368855476
198,6632.848015141487
199,6628.986678981781
200,6687.440297603607
