year,idx,r_c,r_r,r_poi,FAR
6,902,0.4,0.4,0.4,2.1
6,207,0.5,0.2,0.3,1.9
6,634,0.2,0.7,0.1,1.8
6,1448,0.4,0.3,0.3,1.9
6,238,0.6,0.2,0.2,2.1
6,1022,0.5,0.2,0.3,2.1
6,108,0.5,0.2,0.3,1.9
6,341,0.4,0.4,0.4,2.2
6,884,0.4,0.4,0.4,2.1
6,1402,0.4,0.2,0.4,2.2
6,467,0.4,0.2,0.4,2.0
6,92,0.7,0.2,0.1,2.2
6,77,0.4,0.3,0.3,2.2
6,1197,0.6,0.1,0.3,2.2
6,83,0.4,0.4,0.4,1.9
6,731,0.4,0.2,0.4,2.2
6,909,0.2,0.4,0.4,2.1
6,629,0.6,0.1,0.3,1.8
6,654,0.4,0.4,0.4,1.9
6,968,0.3,0.3,0.4,2.2
6,175,0.4,0.4,0.4,2.0
6,1390,0.4,0.2,0.4,1.9
6,1220,0.4,0.2,0.4,2.1
6,916,0.6,0.3,0.1,2.1
7,1018,0.6,0.1,0.3,2.0
7,148,0.4,0.2,0.4,2.1
7,189,0.5,0.2,0.3,2.2
7,1425,0.4,0.2,0.4,2.0
7,1190,0.4,0.2,0.4,2.2
7,779,0.4,0.2,0.4,1.8
7,11,0.4,0.3,0.3,2.0
7,494,0.6,0.2,0.2,2.0
7,1426,0.4,0.4,0.4,2.2
7,832,0.7,0.2,0.1,2.2
7,702,0.6,0.2,0.2,2.1
7,612,0.4,0.2,0.4,1.9
7,695,0.5,0.2,0.3,1.9
7,914,0.4,0.4,0.4,2.2
7,928,0.4,0.4,0.4,2.1
7,10,0.7,0.2,0.1,2.1
7,1272,0.2,0.4,0.4,1.8
7,817,0.2,0.4,0.4,2.0
7,954,0.2,0.4,0.4,2.0
7,361,0.6,0.1,0.3,2.2
7,1266,0.4,0.4,0.4,1.9
7,567,0.6,0.3,0.1,2.1
7,812,0.4,0.3,0.3,2.1
7,635,0.6,0.1,0.3,1.8
7,991,0.5,0.2,0.3,2.2
7,873,0.4,0.2,0.4,2.1
7,1131,0.4,0.4,0.4,2.0
7,842,0.4,0.2,0.4,1.9
7,1048,0.4,0.4,0.4,2.1
7,1054,0.6,0.3,0.1,2.2
8,195,0.7,0.2,0.1,2.1
8,1250,0.4,0.2,0.4,2.1
8,206,0.4,0.3,0.3,2.0
8,185,0.4,0.2,0.4,2.0
8,339,0.4,0.4,0.4,2.2
8,926,0.6,0.1,0.3,2.1
8,1141,0.6,0.2,0.2,2.1
8,931,0.6,0.2,0.2,2.0
8,202,0.4,0.4,0.4,2.1
8,301,0.6,0.2,0.2,2.1
8,851,0.6,0.2,0.2,2.1
8,1191,0.6,0.1,0.3,2.1
8,887,0.4,0.3,0.3,2.1
8,1181,0.4,0.4,0.4,2.2
8,633,0.4,0.4,0.4,2.1
8,1392,0.3,0.5,0.2,1.9
8,1257,0.4,0.2,0.4,2.2
8,892,0.1,0.6,0.3,1.8
8,553,0.6,0.3,0.1,2.2
8,1418,0.2,0.6,0.2,2.1
8,759,0.4,0.4,0.4,1.9
8,713,0.6,0.1,0.3,2.1
8,1427,0.4,0.3,0.3,2.1
8,813,0.6,0.1,0.3,1.8
8,416,0.5,0.2,0.3,2.2
8,4,0.4,0.2,0.4,2.1
8,789,0.4,0.4,0.4,2.0
8,1440,0.6,0.3,0.1,2.1
8,418,0.4,0.4,0.4,2.1
8,296,0.6,0.2,0.2,1.9
9,81,0.6,0.1,0.3,2.0
9,853,0.4,0.2,0.4,2.1
9,23,0.5,0.2,0.3,2.2
9,955,0.2,0.7,0.1,1.8
9,1177,0.6,0.1,0.3,1.8
9,1401,0.4,0.2,0.4,2.1
9,171,0.4,0.2,0.4,2.1
9,355,0.2,0.6,0.2,2.1
9,723,0.4,0.4,0.4,2.2
9,1015,0.6,0.2,0.2,2.0
9,1437,0.6,0.2,0.2,2.1
9,915,0.6,0.1,0.3,2.1
9,747,0.5,0.2,0.3,1.9
9,9,0.4,0.4,0.4,2.2
9,676,0.4,0.4,0.4,2.1
9,588,0.3,0.5,0.2,1.9
9,820,0.4,0.2,0.4,1.9
9,1423,0.7,0.2,0.1,2.2
9,1290,0.6,0.3,0.1,2.2
9,146,0.6,0.1,0.3,2.2
9,375,0.4,0.4,0.4,1.9
9,1296,0.4,0.2,0.4,2.2
9,1173,0.1,0.7,0.2,2.1
9,229,0.6,0.1,0.3,1.8
9,1252,0.5,0.2,0.3,2.2
9,824,0.4,0.2,0.4,2.1
9,1096,0.6,0.1,0.3,2.2
9,701,0.4,0.2,0.4,1.9
9,526,0.4,0.4,0.4,2.1
9,791,0.6,0.3,0.1,2.1
10,1375,0.6,0.1,0.3,2.0
10,1405,0.4,0.2,0.4,2.1
10,1025,0.5,0.2,0.3,2.2
10,1413,0.4,0.2,0.4,2.0
10,583,0.4,0.2,0.4,2.2
