year,idx,r_c,r_r,r_poi,FAR
6,1247,0.1,0.7,0.2,1.8
6,1439,0.4,0.4,0.4,2.1
6,833,0.4,0.3,0.3,1.9
6,429,0.4,0.4,0.4,1.8
6,441,0.2,0.6,0.2,2.1
6,500,0.6,0.1,0.3,2.1
6,59,0.6,0.2,0.2,2.0
6,1436,0.7,0.2,0.1,1.9
6,333,0.4,0.2,0.4,1.8
6,337,0.5,0.2,0.3,1.9
6,562,0.4,0.4,0.4,2.2
6,203,0.2,0.4,0.4,2.2
6,163,0.6,0.3,0.1,1.9
6,570,0.3,0.3,0.4,2.1
6,470,0.2,0.6,0.2,1.8
6,192,0.6,0.2,0.2,1.8
6,674,0.4,0.2,0.4,2.2
6,843,0.1,0.6,0.3,2.1
6,51,0.2,0.4,0.4,2.1
6,835,0.2,0.4,0.4,2.0
6,240,0.3,0.3,0.4,2.1
6,216,0.2,0.7,0.1,2.1
6,1022,0.4,0.4,0.4,2.2
7,647,0.3,0.3,0.4,1.9
7,504,0.3,0.3,0.4,2.2
7,58,0.6,0.2,0.2,2.0
7,1289,0.2,0.6,0.2,2.1
7,591,0.3,0.3,0.4,2.1
7,1311,0.6,0.1,0.3,2.2
7,156,0.4,0.4,0.4,2.1
7,109,0.1,0.7,0.2,1.8
7,1427,0.4,0.4,0.4,2.0
7,777,0.4,0.3,0.3,1.9
7,531,0.4,0.4,0.4,1.8
7,1052,0.1,0.7,0.2,2.0
7,1361,0.6,0.1,0.3,2.1
7,587,0.3,0.3,0.4,1.8
7,49,0.7,0.2,0.1,1.9
7,38,0.3,0.3,0.4,2.2
7,979,0.7,0.2,0.1,1.9
7,1385,0.4,0.4,0.4,2.2
7,877,0.5,0.2,0.3,2.1
7,1091,0.5,0.2,0.3,2.2
7,839,0.2,0.7,0.1,1.8
7,135,0.2,0.6,0.2,1.8
7,421,0.4,0.2,0.4,2.0
7,277,0.3,0.5,0.2,2.0
7,447,0.4,0.2,0.4,2.2
7,127,0.7,0.2,0.1,2.2
7,1087,0.2,0.4,0.4,2.0
7,33,0.5,0.2,0.3,2.2
7,1384,0.2,0.7,0.1,2.1
7,199,0.4,0.4,0.4,2.2
8,1381,0.3,0.5,0.2,2.0
8,1327,0.7,0.2,0.1,1.8
8,783,0.4,0.4,0.4,2.0
8,544,0.2,0.6,0.2,2.1
8,408,0.3,0.3,0.4,2.1
8,1164,0.4,0.3,0.3,1.8
8,1002,0.1,0.7,0.2,1.9
8,925,0.1,0.7,0.2,1.8
8,367,0.4,0.4,0.4,2.1
8,1428,0.4,0.3,0.3,1.9
8,154,0.4,0.4,0.4,1.8
8,140,0.1,0.7,0.2,2.0
8,534,0.6,0.1,0.3,2.2
8,252,0.6,0.2,0.2,2.2
8,161,0.7,0.2,0.1,1.9
8,141,0.4,0.3,0.3,2.0
8,550,0.6,0.3,0.1,2.1
8,1069,0.4,0.4,0.4,2.2
8,765,0.5,0.2,0.3,2.1
8,1417,0.5,0.2,0.3,2.0
8,1080,0.3,0.3,0.4,2.1
8,167,0.7,0.2,0.1,1.8
8,775,0.6,0.2,0.2,1.8
8,278,0.4,0.3,0.3,2.1
8,753,0.2,0.6,0.2,1.9
8,151,0.7,0.2,0.1,2.2
8,1446,0.2,0.4,0.4,2.0
8,366,0.5,0.2,0.3,2.2
8,593,0.2,0.7,0.1,2.1
8,1281,0.4,0.4,0.4,2.2
9,136,0.5,0.2,0.3,2.2
9,800,0.1,0.6,0.3,1.8
9,754,0.2,0.4,0.4,2.1
9,1356,0.6,0.1,0.3,1.9
9,214,0.3,0.3,0.4,2.1
9,549,0.4,0.4,0.4,2.1
9,1084,0.5,0.2,0.3,2.0
9,146,0.1,0.7,0.2,1.8
9,162,0.4,0.4,0.4,2.1
9,16,0.7,0.2,0.1,2.0
9,434,0.1,0.6,0.3,1.9
9,1322,0.2,0.6,0.2,1.9
9,19,0.6,0.1,0.3,2.1
9,302,0.6,0.2,0.2,2.0
9,764,0.7,0.2,0.1,1.9
9,554,0.4,0.2,0.4,1.8
9,513,0.3,0.5,0.2,2.2
9,614,0.4,0.4,0.4,2.2
9,497,0.2,0.4,0.4,2.2
9,1370,0.5,0.2,0.3,2.0
9,405,0.2,0.4,0.4,1.8
9,740,0.6,0.1,0.3,2.2
9,1203,0.6,0.2,0.2,1.8
9,442,0.7,0.2,0.1,1.9
9,1059,0.1,0.6,0.3,2.1
9,621,0.2,0.4,0.4,2.1
9,1053,0.2,0.4,0.4,2.0
9,81,0.5,0.2,0.3,2.2
9,1206,0.2,0.7,0.1,2.0
9,373,0.4,0.2,0.4,1.8
10,1126,0.6,0.3,0.1,1.8
10,692,0.7,0.2,0.1,1.8
10,379,0.1,0.6,0.3,2.0
10,474,0.6,0.1,0.3,1.9
10,685,0.3,0.3,0.4,2.1
10,974,0.4,0.4,0.4,2.0
10,681,0.6,0.1,0.3,2.2
