,AREA,R_M,R_T,R_P,weighted_R_M,weighted_R_T,weighted_R_P,cost_balance,R_T_ratio,R_P_ratio
0,2994924.5635729386,-20148457472.0,-0.002841949462890625,-18.42578125,-4029.691650390625,-568.389892578125,-1842.578125,0.0,-0.00025695390650071204,-0.0021810445468872786
1,3373724.0924822595,-43105988608.0,0.010898590087890625,37.447265625,-8621.1982421875,2179.718017578125,3744.7265625,0.0,0.0009851391660049558,0.004413040820509195
2,4165166.940148795,-37459329024.0,0.0056095123291015625,-9.4091796875,-7491.86572265625,1121.9024658203125,-940.91796875,0.0,0.0005075518856756389,-0.0011100727133452892
3,3201162.746900245,-32703483904.0,0.0014925003051757812,-1.4482421875,-6540.69677734375,298.50006103515625,-144.82421875,0.0,0.00013511085126083344,-0.00017088936874642968
4,2504718.7235050546,-27395926016.0,0.0035381317138671875,5.3740234375,-5479.18505859375,707.6263427734375,537.40234375,0.0,0.000320338032906875,0.0006337210070341825
5,2063326.382824237,-23049048064.0,0.004015922546386719,8.521484375,-4609.8095703125,803.1845092773438,852.1484375,0.0,0.0003637131303548813,0.0010038702748715878
6,1184739.802251498,-14973780992.0,0.0029382705688476562,-0.740234375,-2994.75634765625,587.6541137695312,-74.0234375,0.0,0.0002662094193510711,-8.721063932171091e-05
7,2343501.8466089717,-21311639552.0,0.0037794113159179688,7.3154296875,-4262.328125,755.8822631835938,731.54296875,0.0,0.0003425085451453924,0.0008611244265921414
8,1485659.3496718353,-15878981632.0,0.004319190979003906,5.080078125,-3175.79638671875,863.8381958007812,508.0078125,0.0,0.00039156011189334095,0.000597636157181114
9,2395228.6647484866,-28941750272.0,0.008485794067382812,22.4287109375,-5788.35009765625,1697.1588134765625,2242.87109375,0.0,0.0007695885724388063,0.002631639363244176
10,2030765.3832081063,-27844982784.0,0.00035858154296875,3.1142578125,-5568.99658203125,71.71630859375,311.42578125,0.0,3.254531111451797e-05,0.0003652732993941754
11,1740951.8736051877,-17686874112.0,0.0054836273193359375,9.84765625,-3537.374755859375,1096.7254638671875,984.765625,0.0,0.0004977170610800385,0.001153705408796668
